# Sun->Apophis in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 00:00:00.0000 ET, -6.2061648288306713e+07, -1.0901939720364948e+08, -4.2070474417638421e+07, +3.0859375596620293e+01, -9.2191795656008448e+00, -2.6486163017201387e+00
01-JUL-2028 00:10:00.0000 ET, -6.2043132022966452e+07, -1.0902492758704019e+08, -4.2072063153536245e+07, +3.0861508793982335e+01, -9.2154316537416356e+00, -2.6471699956333081e+00
01-JUL-2028 00:20:00.0000 ET, -6.2024614477846242e+07, -1.0903045572153436e+08, -4.2073651021598525e+07, +3.0863641529807914e+01, -9.2116832438431455e+00, -2.6457235164175836e+00
01-JUL-2028 00:30:00.0000 ET, -6.2006095653222971e+07, -1.0903598160683328e+08, -4.2075238021721244e+07, +3.0865773804161474e+01, -9.2079343362560078e+00, -2.6442768637411689e+00
01-JUL-2028 00:40:00.0000 ET, -6.1987575549373604e+07, -1.0904150524263825e+08, -4.2076824153800361e+07, +3.0867905616769022e+01, -9.2041849306122039e+00, -2.6428300377685008e+00
01-JUL-2028 00:50:00.0000 ET, -6.1969054166575193e+07, -1.0904702662865050e+08, -4.2078409417731874e+07, +3.0870036967616933e+01, -9.2004350272661224e+00, -2.6413830383907513e+00
01-JUL-2028 01:00:00.0000 ET, -6.1950531505104870e+07, -1.0905254576457135e+08, -4.2079993813411772e+07, +3.0872167856470419e+01, -9.1966846259499349e+00, -2.6399358657156653e+00
01-JUL-2028 01:10:00.0000 ET, -6.1932007565239832e+07, -1.0905806265010212e+08, -4.2081577340736054e+07, +3.0874298283301009e+01, -9.1929337269867499e+00, -2.6384885196458994e+00
01-JUL-2028 01:20:00.0000 ET, -6.1913482347257368e+07, -1.0906357728494413e+08, -4.2083159999600708e+07, +3.0876428247869281e+01, -9.1891823300814934e+00, -2.6370410003144027e+00
01-JUL-2028 01:30:00.0000 ET, -6.1894955851434834e+07, -1.0906908966879866e+08, -4.2084741789901756e+07, +3.0878557750196244e+01, -9.1854304355044203e+00, -2.6355933074252382e+00
01-JUL-2028 01:40:00.0000 ET, -6.1876428078049682e+07, -1.0907459980136713e+08, -4.2086322711535193e+07, +3.0880686789961782e+01, -9.1816780430651939e+00, -2.6341454416026386e+00
01-JUL-2028 01:50:00.0000 ET, -6.1857899027379423e+07, -1.0908010768235075e+08, -4.2087902764397033e+07, +3.0882815367127769e+01, -9.1779251527987267e+00, -2.6326974023308622e+00
01-JUL-2028 02:00:00.0000 ET, -6.1839368699701652e+07, -1.0908561331145096e+08, -4.2089481948383294e+07, +3.0884943481657629e+01, -9.1741717649194694e+00, -2.6312491896668737e+00
01-JUL-2028 02:10:00.0000 ET, -6.1820837095294021e+07, -1.0909111668836911e+08, -4.2091060263390005e+07, +3.0887071133271856e+01, -9.1704178792797162e+00, -2.6298008038233927e+00
01-JUL-2028 02:20:00.0000 ET, -6.1802304214434318e+07, -1.0909661781280652e+08, -4.2092637709313199e+07, +3.0889198321908275e+01, -9.1666634957802167e+00, -2.6283522446073451e+00
01-JUL-2028 02:30:00.0000 ET, -6.1783770057400361e+07, -1.0910211668446454e+08, -4.2094214286048904e+07, +3.0891325047422267e+01, -9.1629086147141656e+00, -2.6269035122100792e+00
01-JUL-2028 02:40:00.0000 ET, -6.1765234624470040e+07, -1.0910761330304463e+08, -4.2095789993493170e+07, +3.0893451309752699e+01, -9.1591532359684908e+00, -2.6254546064548498e+00
01-JUL-2028 02:50:00.0000 ET, -6.1746697915921353e+07, -1.0911310766824816e+08, -4.2097364831542030e+07, +3.0895577108614798e+01, -9.1553973594181706e+00, -2.6240055275137597e+00
