# Sun->Apophis in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 00:00:00.0000 ET, -3.8781491407510646e+07, +1.3939251582006067e+08, +5.0816792967429951e+07, -2.7589204102753975e+01, -2.3363057375814162e+00, -1.5626167790789454e+00
13-DEC-2028 00:10:00.0000 ET, -3.8798044673025988e+07, +1.3939111311328864e+08, +5.0815855060757987e+07, -2.7588347561384520e+01, -2.3393834709438930e+00, -1.5637387810157179e+00
13-DEC-2028 00:20:00.0000 ET, -3.8814597424519934e+07, +1.3938970855993310e+08, +5.0814916480908312e+07, -2.7587490698116653e+01, -2.3424610163712418e+00, -1.5648607049044987e+00
13-DEC-2028 00:30:00.0000 ET, -3.8831149661799349e+07, +1.3938830216010648e+08, +5.0813977227927640e+07, -2.7586633512971257e+01, -2.3455383743098293e+00, -1.5659825510654453e+00
13-DEC-2028 00:40:00.0000 ET, -3.8847701384671152e+07, +1.3938689391392148e+08, +5.0813037301862620e+07, -2.7585776006071953e+01, -2.3486155445628905e+00, -1.5671043193591248e+00
13-DEC-2028 00:50:00.0000 ET, -3.8864252592942260e+07, +1.3938548382149056e+08, +5.0812096702759966e+07, -2.7584918177353426e+01, -2.3516925272193956e+00, -1.5682260098520830e+00
13-DEC-2028 01:00:00.0000 ET, -3.8880803286419645e+07, +1.3938407188292632e+08, +5.0811155430666365e+07, -2.7584060026976566e+01, -2.3547693221945618e+00, -1.5693476225125944e+00
13-DEC-2028 01:10:00.0000 ET, -3.8897353464910284e+07, +1.3938265809834141e+08, +5.0810213485628501e+07, -2.7583201554863265e+01, -2.3578459296008005e+00, -1.5704691573800502e+00
13-DEC-2028 01:20:00.0000 ET, -3.8913903128221169e+07, +1.3938124246784839e+08, +5.0809270867693096e+07, -2.7582342761166267e+01, -2.3609223492134053e+00, -1.5715906143727794e+00
13-DEC-2028 01:30:00.0000 ET, -3.8930452276159354e+07, +1.3937982499155980e+08, +5.0808327576906815e+07, -2.7581483645873835e+01, -2.3639985814943443e+00, -1.5727119937426397e+00
13-DEC-2028 01:40:00.0000 ET, -3.8947000908531860e+07, +1.3937840566958839e+08, +5.0807383613316387e+07, -2.7580624208966437e+01, -2.3670746256528203e+00, -1.5738332949043261e+00
13-DEC-2028 01:50:00.0000 ET, -3.8963549025145799e+07, +1.3937698450204667e+08, +5.0806438976968490e+07, -2.7579764450586303e+01, -2.3701504821615056e+00, -1.5749545184327784e+00
13-DEC-2028 02:00:00.0000 ET, -3.8980096625808269e+07, +1.3937556148904729e+08, +5.0805493667909831e+07, -2.7578904370718007e+01, -2.3732261511524122e+00, -1.5760756641125169e+00
13-DEC-2028 02:10:00.0000 ET, -3.8996643710326374e+07, +1.3937413663070282e+08, +5.0804547686187118e+07, -2.7578043969431505e+01, -2.3763016323659625e+00, -1.5771967319549542e+00
13-DEC-2028 02:20:00.0000 ET, -3.9013190278507300e+07, +1.3937270992712599e+08, +5.0803601031847060e+07, -2.7577183246741452e+01, -2.3793769258481099e+00, -1.5783177219492706e+00
13-DEC-2028 02:30:00.0000 ET, -3.9029736330158204e+07, +1.3937128137842935e+08, +5.0802653704936348e+07, -2.7576322202709022e+01, -2.3824520316225377e+00, -1.5794386340990176e+00
13-DEC-2028 02:40:00.0000 ET, -3.9046281865086287e+07, +1.3936985098472562e+08, +5.0801705705501713e+07, -2.7575460837367178e+01, -2.3855269496419838e+00, -1.5805594683953348e+00
13-DEC-2028 02:50:00.0000 ET, -3.9062826883098789e+07, +1.3936841874612737e+08, +5.0800757033589847e+07, -2.7574599150751748e+01, -2.3886016798213223e+00, -1.5816802248475990e+00
13-DEC-2028 03:00:00.0000 ET, -3.9079371384002946e+07, +1.3936698466274735e+08, +5.0799807689247474e+07, -2.7573737142904914e+01, -2.3916762219993402e+00, -1.5828009035212001e+00
13-DEC-2028 03:10:00.0000 ET, -3.9095915367606059e+07, +1.3936554873469815e+08, +5.0798857672521316e+07, -2.7572874813861556e+01, -2.3947505770205977e+00, -1.5839215041458508e+00
13-DEC-2028 03:20:00.0000 ET, -3.9112458833715402e+07, +1.3936411096209243e+08, +5.0797906983458072e+07, -2.7572012163742539e+01, -2.3978247439453533e+00, -1.5850420270075913e+00
13-DEC-2028 03:30:00.0000 ET, -3.9129001782138318e+07, +1.3936267134504297e+08, +5.0796955622104473e+07, -2.7571149192454079e+01, -2.4008987230529168e+00, -1.5861624720157943e+00
13-DEC-2028 03:40:00.0000 ET, -3.9145544212682135e+07, +1.3936122988366234e+08, +5.0796003588507243e+07, -2.7570285900110257e+01, -2.4039725143637600e+00, -1.5872828391288814e+00
13-DEC-2028 03:50:00.0000 ET, -3.9162086125154249e+07, +1.3935978657806331e+08, +5.0795050882713079e+07, -2.7569422286754691e+01, -2.4070461178379299e+00, -1.5884031284234577e+00
13-DEC-2028 04:00:00.0000 ET, -3.9178627519362047e+07, +1.3935834142835850e+08, +5.0794097504768722e+07, -2.7568558352399144e+01, -2.4101195334549290e+00, -1.5895233397955189e+00
13-DEC-2028 04:10:00.0000 ET, -3.9195168395112939e+07, +1.3935689443466070e+08, +5.0793143454720892e+07, -2.7567694097117450e+01, -2.4131927613301305e+00, -1.5906434733134109e+00
13-DEC-2028 04:20:00.0000 ET, -3.9211708752214409e+07, +1.3935544559708253e+08, +5.0792188732616328e+07, -2.7566829520968749e+01, -2.4162658011901814e+00, -1.5917635289444469e+00
13-DEC-2028 04:30:00.0000 ET, -3.9228248590473905e+07, +1.3935399491573682e+08, +5.0791233338501729e+07, -2.7565964623817116e+01, -2.4193386536807711e+00, -1.5928835066902072e+00
13-DEC-2028 04:40:00.0000 ET, -3.9244787909698933e+07, +1.3935254239073613e+08, +5.0790277272423878e+07, -2.7565099406053584e+01, -2.4224113174756936e+00, -1.5940034065601976e+00
13-DEC-2028 04:50:00.0000 ET, -3.9261326709697001e+07, +1.3935108802219331e+08, +5.0789320534429446e+07, -2.7564233867402720e+01, -2.4254837938403742e+00, -1.5951232285211026e+00
13-DEC-2028 05:00:00.0000 ET, -3.9277864990275674e+07, +1.3934963181022108e+08, +5.0788363124565206e+07, -2.7563368008041177e+01, -2.4285560822806960e+00, -1.5962429726291019e+00
13-DEC-2028 05:10:00.0000 ET, -3.9294402751242504e+07, +1.3934817375493217e+08, +5.0787405042877890e+07, -2.7562501827957494e+01, -2.4316281827581867e+00, -1.5973626387799724e+00
13-DEC-2028 05:20:00.0000 ET, -3.9310939992405102e+07, +1.3934671385643932e+08, +5.0786446289414220e+07, -2.7561635327245920e+01, -2.4347000954356046e+00, -1.5984822271300705e+00
13-DEC-2028 05:30:00.0000 ET, -3.9327476713571072e+07, +1.3934525211485529e+08, +5.0785486864220940e+07, -2.7560768505897162e+01, -2.4377718200444565e+00, -1.5996017374906555e+00
13-DEC-2028 05:40:00.0000 ET, -3.9344012914548062e+07, +1.3934378853029284e+08, +5.0784526767344803e+07, -2.7559901363994115e+01, -2.4408433568541028e+00, -1.6007211699950630e+00
13-DEC-2028 05:50:00.0000 ET, -3.9360548595143758e+07, +1.3934232310286471e+08, +5.0783565998832539e+07, -2.7559033901545078e+01, -2.4439147056117618e+00, -1.6018405245760665e+00
13-DEC-2028 06:00:00.0000 ET, -3.9377083755165830e+07, +1.3934085583268368e+08, +5.0782604558730893e+07, -2.7558166118528053e+01, -2.4469858671941456e+00, -1.6029598013254789e+00
13-DEC-2028 06:10:00.0000 ET, -3.9393618394422010e+07, +1.3933938671986258e+08, +5.0781642447086602e+07, -2.7557298015235535e+01, -2.4500568393071505e+00, -1.6040790000344334e+00
13-DEC-2028 06:20:00.0000 ET, -3.9410152512720026e+07, +1.3933791576451412e+08, +5.0780679663946442e+07, -2.7556429591434885e+01, -2.4531276241913225e+00, -1.6051981208582313e+00
13-DEC-2028 06:30:00.0000 ET, -3.9426686109867670e+07, +1.3933644296675116e+08, +5.0779716209357150e+07, -2.7555560847303472e+01, -2.4561982210269466e+00, -1.6063171638067550e+00
13-DEC-2028 06:40:00.0000 ET, -3.9443219185672708e+07, +1.3933496832668647e+08, +5.0778752083365463e+07, -2.7554691782777901e+01, -2.4592686299559965e+00, -1.6074361288245773e+00
13-DEC-2028 06:50:00.0000 ET, -3.9459751739942968e+07, +1.3933349184443283e+08, +5.0777787286018141e+07, -2.7553822398031642e+01, -2.4623388508378077e+00, -1.6085550159163298e+00
13-DEC-2028 07:00:00.0000 ET, -3.9476283772486277e+07, +1.3933201352010304e+08, +5.0776821817361951e+07, -2.7552952692980831e+01, -2.4654088837361181e+00, -1.6096738250847833e+00
13-DEC-2028 07:10:00.0000 ET, -3.9492815283110507e+07, +1.3933053335380998e+08, +5.0775855677443624e+07, -2.7552082667771831e+01, -2.4684787284915841e+00, -1.6107925563314367e+00
13-DEC-2028 07:20:00.0000 ET, -3.9509346271623574e+07, +1.3932905134566647e+08, +5.0774888866309941e+07, -2.7551212322383190e+01, -2.4715483852781235e+00, -1.6119112096138137e+00
13-DEC-2028 07:30:00.0000 ET, -3.9525876737833329e+07, +1.3932756749578527e+08, +5.0773921384007663e+07, -2.7550341656791964e+01, -2.4746178542315245e+00, -1.6130297850545869e+00
13-DEC-2028 07:40:00.0000 ET, -3.9542406681547776e+07, +1.3932608180427927e+08, +5.0772953230583549e+07, -2.7549470671249065e+01, -2.4776871346436957e+00, -1.6141482824222577e+00
13-DEC-2028 07:50:00.0000 ET, -3.9558936102574855e+07, +1.3932459427126130e+08, +5.0771984406084336e+07, -2.7548599365637482e+01, -2.4807562272467010e+00, -1.6152667019272064e+00
13-DEC-2028 08:00:00.0000 ET, -3.9575465000722535e+07, +1.3932310489684418e+08, +5.0771014910556830e+07, -2.7547727739971965e+01, -2.4838251317656450e+00, -1.6163850434631615e+00
13-DEC-2028 08:10:00.0000 ET, -3.9591993375798829e+07, +1.3932161368114081e+08, +5.0770044744047768e+07, -2.7546855794374665e+01, -2.4868938481132816e+00, -1.6175033070828235e+00
13-DEC-2028 08:20:00.0000 ET, -3.9608521227611795e+07, +1.3932012062426403e+08, +5.0769073906603925e+07, -2.7545983528852894e+01, -2.4899623764948844e+00, -1.6186214927363385e+00
13-DEC-2028 08:30:00.0000 ET, -3.9625048555969484e+07, +1.3931862572632670e+08, +5.0768102398272067e+07, -2.7545110943457651e+01, -2.4930307166156473e+00, -1.6197396004616955e+00
