# Apophis->SpacecraftY in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 00:00:00.0000 ET, +4.6335802414760846e-01, -6.7500732328607393e-01, +1.0438979350270501e+00, -3.2232886259706572e-05, +8.3582410787440007e-06, +2.6313334142497465e-05
01-JUL-2028 00:10:00.0000 ET, +4.4391148744704850e-01, -6.6984211257447568e-01, +1.0594442749095569e+00, -3.2586041277896583e-05, +8.8578708551452172e-06, +2.5506740625896619e-05
01-JUL-2028 00:20:00.0000 ET, +4.2425819244900909e-01, -6.6437938591896473e-01, +1.0745047787112676e+00, -3.2922107003772509e-05, +9.3499623749471077e-06, +2.4693921487363471e-05
01-JUL-2028 00:30:00.0000 ET, +4.0440834575619861e-01, -6.5862366356770874e-01, +1.0890757837735028e+00, -3.3241238931718027e-05, +9.8345246743171232e-06, +2.3875117405031156e-05
01-JUL-2028 00:40:00.0000 ET, +3.8437206272473162e-01, -6.5257946037152048e-01, +1.1031537687688657e+00, -3.3543585648598194e-05, +1.0311566649013798e-05, +2.3050558852842761e-05
01-JUL-2028 00:50:00.0000 ET, +3.6415937168190859e-01, -6.4625128595632497e-01, +1.1167353477056354e+00, -3.3829288609433719e-05, +1.0781096765724483e-05, +2.2220466539039213e-05
01-JUL-2028 01:00:00.0000 ET, +3.4378021823051952e-01, -6.3964364505195903e-01, +1.1298172642225413e+00, -3.4098482148171578e-05, +1.1243122858813850e-05, +2.1385051970126359e-05
01-JUL-2028 01:10:00.0000 ET, +3.2324446950171337e-01, -6.3276103792375615e-01, +1.1423963862385318e+00, -3.4351293458373701e-05, +1.1697651926931150e-05, +2.0544517970973416e-05
01-JUL-2028 01:20:00.0000 ET, +3.0256191846961822e-01, -6.2560796094244053e-01, +1.1544697008829297e+00, -3.4587842586459141e-05, +1.2144689941536707e-05, +1.9699059192575201e-05
01-JUL-2028 01:30:00.0000 ET, +2.8174228820186453e-01, -6.1818890724061970e-01, +1.1660343097572645e+00, -3.4808242641330811e-05, +1.2584241749041016e-05, +1.8848862695522048e-05
01-JUL-2028 01:40:00.0000 ET, +2.6079523620288803e-01, -6.1050836751111426e-01, +1.1770874244411451e+00, -3.5012598764291657e-05, +1.3016310490739568e-05, +1.7994107959915077e-05
01-JUL-2028 01:50:00.0000 ET, +2.3973035861795566e-01, -6.0257083085347840e-01, +1.1876263623407985e+00, -3.5201010220648354e-05, +1.3440898260375051e-05, +1.7134968278929363e-05
01-JUL-2028 02:00:00.0000 ET, +2.1855719456885209e-01, -5.9438078577041609e-01, +1.1976485427454091e+00, -3.5373568291854908e-05, +1.3858005111689160e-05, +1.6271610252439721e-05
01-JUL-2028 02:10:00.0000 ET, +1.9728523041582627e-01, -5.8594272123064350e-01, +1.2071514831770784e+00, -3.5530357383786729e-05, +1.4267629339685741e-05, +1.5404194709573460e-05
01-JUL-2028 02:20:00.0000 ET, +1.7592390399695385e-01, -5.7726112781423156e-01, +1.2161327960006505e+00, -3.5671454796994306e-05, +1.4669767239379134e-05, +1.4532877017638397e-05
01-JUL-2028 02:30:00.0000 ET, +1.5448260890437990e-01, -5.6834049896235506e-01, +1.2245901852628680e+00, -3.5796930749176659e-05, +1.5064412968104237e-05, +1.3657807493546340e-05
01-JUL-2028 02:40:00.0000 ET, +1.3297069871455058e-01, -5.5918533229457656e-01, +1.2325214437870722e+00, -3.5906848382309572e-05, +1.5451558405843702e-05, +1.2779131797813098e-05
01-JUL-2028 02:50:00.0000 ET, +1.1139749124323656e-01, -5.4980013102142455e-01, +1.2399244504914004e+00, -3.6001263794402192e-05, +1.5831193029539030e-05, +1.1896991328436915e-05
01-JUL-2028 03:00:00.0000 ET, +8.9772272739641432e-02, -5.4018940541276150e-01, +1.2467971679538596e+00, -3.6080226227933380e-05, +1.6203303864231713e-05, +1.1011523645297874e-05
01-JUL-2028 03:10:00.0000 ET, +6.8104302174240031e-02, -5.3035767438940096e-01, +1.2531376401722498e+00, -3.6143777139917898e-05, +1.6567874919677132e-05, +1.0122862588362518e-05
01-JUL-2028 03:20:00.0000 ET, +4.6402815347078463e-02, -5.2030946711220460e-01, +1.2589439905937141e+00, -3.6191952144952813e-05, +1.6924887956238431e-05, +9.2311391629541945e-06
01-JUL-2028 03:30:00.0000 ET, +2.4677029175833618e-02, -5.1004932473163511e-01, +1.2642144203094301e+00, -3.6224779043564004e-05, +1.7274321445045136e-05, +8.3364813654690333e-06
01-JUL-2028 03:40:00.0000 ET, +2.9361458621371388e-03, -4.9958180215875891e-01, +1.2689472064962630e+00, -3.6242278873937800e-05, +1.7616150926070834e-05, +7.4390148187222561e-06
01-JUL-2028 03:50:00.0000 ET, -1.8810642918366031e-02, -4.8891146992313811e-01, +1.2731407010616502e+00, -3.6244465698568305e-05, +1.7950348783509780e-05, +6.5388630627085941e-06
01-JUL-2028 04:00:00.0000 ET, -4.0554151838651922e-02, -4.7804291610010141e-01, +1.2767933294997296e+00, -3.6231346602804088e-05, +1.8276884119378995e-05, +5.6361479014869983e-06
01-JUL-2028 04:10:00.0000 ET, -6.2285197726838659e-02, -4.6698074832129233e-01, +1.2799035899525686e+00, -3.6202921701642564e-05, +1.8595722631288040e-05, +4.7309897513529856e-06
01-JUL-2028 04:20:00.0000 ET, -8.3994595398449917e-02, -4.5572959584756384e-01, +1.2824700524835193e+00, -3.6159184160685586e-05, +1.8906826498075147e-05, +3.8235079893268251e-06
01-JUL-2028 04:30:00.0000 ET, -1.0567315349615103e-01, -4.4429411171265276e-01, +1.2844913585577720e+00, -3.6100120187877042e-05, +1.9210154250757896e-05, +2.9138212969560708e-06
01-JUL-2028 04:40:00.0000 ET, -1.2731167028214638e-01, -4.3267897496668495e-01, +1.2859662207253058e+00, -3.6025709109276975e-05, +1.9505660686713587e-05, +2.0020480149063549e-06
01-JUL-2028 04:50:00.0000 ET, -1.4890092952176154e-01, -4.2088889294771004e-01, +1.2868934225226498e+00, -3.5935923206048556e-05, +1.9793296658381937e-05, +1.0883064737906230e-06
01-JUL-2028 05:00:00.0000 ET, -1.7043169627828575e-01, -4.0892860367550909e-01, +1.2872718185747087e+00, -3.5830727823103971e-05, +2.0073009001345980e-05, +1.7271536092330557e-07
01-JUL-2028 05:10:00.0000 ET, -1.9189471275368250e-01, -3.9680287829853422e-01, +1.2871003349142338e+00, -3.5710081426458189e-05, +2.0344740437728065e-05, -7.4460592412742015e-07
01-JUL-2028 05:20:00.0000 ET, -2.1328069412727968e-01, -3.8451652361936894e-01, +1.2863779695147515e+00, -3.5573935485862616e-05, +2.0608429382139680e-05, -1.6635369164873007e-06
01-JUL-2028 05:30:00.0000 ET, -2.3458032438120641e-01, -3.7207438470656201e-01, +1.2851037930409104e+00, -3.5422234536343323e-05, +2.0864009842002808e-05, -2.5839557162012707e-06
01-JUL-2028 05:40:00.0000 ET, -2.5578425213214334e-01, -3.5948134758347183e-01, +1.2832769498205960e+00, -3.5254916161953652e-05, +2.1111411273325598e-05, -3.5057386165719946e-06
01-JUL-2028 05:50:00.0000 ET, -2.7688308645950965e-01, -3.4674234200116388e-01, +1.2808966590426556e+00, -3.5071910975673372e-05, +2.1350558430583863e-05, -4.4287597227610058e-06
01-JUL-2028 06:00:00.0000 ET, -2.9786739273850116e-01, -3.3386234429260497e-01, +1.2779622161853690e+00, -3.4873142724194913e-05, +2.1581371286398777e-05, -5.3528905692441319e-06
01-JUL-2028 06:10:00.0000 ET, -3.1872768843995358e-01, -3.2084638033254442e-01, +1.2744729946835249e+00, -3.4658527964384382e-05, +2.1803764694866488e-05, -6.2779996969644398e-06
01-JUL-2028 06:20:00.0000 ET, -3.3945443901203798e-01, -3.0769952853769300e-01, +1.2704284478321763e+00, -3.4427976605267793e-05, +2.2017648562760632e-05, -7.2039522856657573e-06
01-JUL-2028 06:30:00.0000 ET, -3.6003805364449643e-01, -2.9442692302780621e-01, +1.2658281109493552e+00, -3.4181391401872844e-05, +2.2222927394361516e-05, -8.1306096898540604e-06
01-JUL-2028 06:40:00.0000 ET, -3.8046888114413407e-01, -2.8103375681487897e-01, +1.2606716037867731e+00, -3.3918668218370586e-05, +2.2419500288331239e-05, -9.0578290255681970e-06
01-JUL-2028 06:50:00.0000 ET, -4.0073720573940524e-01, -2.6752528513263152e-01, +1.2549586332139409e+00, -3.3639695967400695e-05, +2.2607260735433704e-05, -9.9854627126892584e-06
01-JUL-2028 07:00:00.0000 ET, -4.2083324293425972e-01, -2.5390682883723831e-01, +1.2486889961717265e+00, -3.3344356632881068e-05, +2.2786096460621031e-05, -1.0913358010650092e-05
01-JUL-2028 07:10:00.0000 ET, -4.4074713534347021e-01, -2.4018377792485149e-01, +1.2418625829147611e+00, -3.3032525291861500e-05, +2.2955889257693784e-05, -1.1841356536320120e-05
01-JUL-2028 07:20:00.0000 ET, -4.6046894856138021e-01, -2.2636159513759707e-01, +1.2344793805448442e+00, -3.2704070104809230e-05, +2.3116514796186528e-05, -1.2769293755798155e-05
01-JUL-2028 07:30:00.0000 ET, -4.7998866701435022e-01, -2.1244581969508530e-01, +1.2265394768590177e+00, -3.2358852330429614e-05, +2.3267842434164876e-05, -1.3696998455829721e-05
01-JUL-2028 07:40:00.0000 ET, -4.9929618987779278e-01, -1.9844207110322160e-01, +1.2180430645049192e+00, -3.1996726630150807e-05, +2.3409735217652274e-05, -1.4624292278433658e-05
01-JUL-2028 07:50:00.0000 ET, -5.1838132695159966e-01, -1.8435605311648096e-01, +1.2089904454864435e+00, -3.1617540502894909e-05, +2.3542049288220646e-05, -1.5550988984647061e-05
01-JUL-2028 08:00:00.0000 ET, -5.3723379463706478e-01, -1.7019355776438061e-01, +1.1993820359961855e+00, -3.1221134937722662e-05, +2.3664634092946064e-05, -1.6476894029302304e-05
01-JUL-2028 08:10:00.0000 ET, -5.5584321189116093e-01, -1.5596046953183290e-01, +1.1892183716267013e+00, -3.0807344222869397e-05, +2.3777332021330222e-05, -1.7401803875987828e-05
01-JUL-2028 08:20:00.0000 ET, -5.7419909625263277e-01, -1.4166276963647567e-01, +1.1785001129501931e+00, -3.0375996031890663e-05, +2.3879978213462824e-05, -1.8325505353490359e-05
01-JUL-2028 08:30:00.0000 ET, -5.9229085991118890e-01, -1.2730654043099043e-01, +1.1672280514973736e+00, -2.9926911536769468e-05, +2.3972400374199943e-05, -1.9247774989004002e-05
01-JUL-2028 08:40:00.0000 ET, -6.1010780583308066e-01, -1.1289796992837475e-01, +1.1554031161493710e+00, -2.9459905513882698e-05, +2.4054418568396744e-05, -2.0168378302908260e-05
01-JUL-2028 08:50:00.0000 ET, -6.2763912396205701e-01, -9.8443356446596852e-02, +1.1430263799607514e+00, -2.8974786460923357e-05, +2.4125845008005219e-05, -2.1087069066903885e-05
01-JUL-2028 09:00:00.0000 ET, -6.4487388749956331e-01, -8.3949113379619744e-02, +1.1300990674371587e+00, -2.8471356687366650e-05, +2.4186483800799913e-05, -2.2003588501334791e-05
01-JUL-2028 09:10:00.0000 ET, -6.6180104928834227e-01, -6.9421774086787513e-02, +1.1166225622815344e+00, -2.7949412878589895e-05, +2.4236131040170593e-05, -2.2917664671423523e-05
01-JUL-2028 09:20:00.0000 ET, -6.7840943827785749e-01, -5.4867996929810148e-02, +1.1025984156531645e+00, -2.7408745427800286e-05, +2.4274573939717280e-05, -2.3829011191796647e-05
01-JUL-2028 09:30:00.0000 ET, -6.9468775615862810e-01, -4.0294570402631957e-02, +1.0880283549234180e+00, -2.6849139584592091e-05, +2.4301591324253631e-05, -2.4737326817869700e-05
01-JUL-2028 09:40:00.0000 ET, -7.1062457410626634e-01, -2.5708418413788459e-02, +1.0729142929965574e+00, -2.6270375208507650e-05, +2.4316953039250662e-05, -2.5642294253867728e-05
01-JUL-2028 09:50:00.0000 ET, -7.2620832970963944e-01, -1.1116605677137459e-02, +1.0572583381884890e+00, -2.5672227182051821e-05, +2.4320419836534432e-05, -2.6543579241672032e-05
01-JUL-2028 10:00:00.0000 ET, -7.4142732407030443e-01, +3.4736567607122071e-03, +1.0410628047176831e+00, -2.5054465740944994e-05, +2.4311743170736493e-05, -2.7440829539177090e-05
01-JUL-2028 10:10:00.0000 ET, -7.5626971913419117e-01, +1.8055005891604248e-02, +1.0243302238042338e+00, -2.4416856847051334e-05, +2.4290665000768047e-05, -2.8333673851140846e-05
01-JUL-2028 10:20:00.0000 ET, -7.7072353524235127e-01, +3.2619920982266293e-02, +1.0070633554438100e+00, -2.3759162617544827e-05, +2.4256917604554561e-05, -2.9221720714423156e-05
01-JUL-2028 10:30:00.0000 ET, -7.8477664896634070e-01, +4.7160717712898537e-02, +9.8926520085475711e-01, -2.3081141831155400e-05, +2.4210223424909416e-05, -3.0104557354162519e-05
01-JUL-2028 10:40:00.0000 ET, -7.9841679123751141e-01, +6.1669542202166916e-02, +9.7093901565152863e-01, -2.2382550209801802e-05, +2.4150294676067050e-05, -3.0981748245130454e-05
01-JUL-2028 10:50:00.0000 ET, -8.1163154582016073e-01, +7.6138364938375891e-02, +9.5208832376434549e-01, -2.1663141606199733e-05, +2.4076833706617195e-05, -3.1852834328563220e-05
01-JUL-2028 11:00:00.0000 ET, -8.2440834817305197e-01, +9.0558974628535349e-02, +9.3271693213767226e-01, -2.0922668023117638e-05, +2.3989532287638324e-05, -3.2717331130684083e-05
01-JUL-2028 11:10:00.0000 ET, -8.3673448470676581e-01, +1.0492297194493772e-01, +9.1282894626986488e-01, -2.0160880731273651e-05, +2.3888071820750301e-05, -3.3574727683107938e-05
01-JUL-2028 11:20:00.0000 ET, -8.4859709255456395e-01, +1.1922176324224987e-01, +8.9242878657289837e-01, -1.9377530990123254e-05, +2.3772123144466201e-05, -3.4424484977587272e-05
01-JUL-2028 11:30:00.0000 ET, -8.5998315983051121e-01, +1.3344655419236273e-01, +8.7152120564944102e-01, -1.8572370991474894e-05, +2.3641346483866462e-05, -3.5266034473873874e-05
01-JUL-2028 11:40:00.0000 ET, -8.7087952650089906e-01, +1.4758834341128246e-01, +8.5011130647450572e-01, -1.7745154877669998e-05, +2.3495391408842591e-05, -3.6098776525692007e-05
01-JUL-2028 11:50:00.0000 ET, -8.8127288587570440e-01, +1.6163791605223177e-01, +8.2820456155623845e-01, -1.6895639871684701e-05, +2.3333896830055977e-05, -3.6922078746854547e-05
01-JUL-2028 12:00:00.0000 ET, -8.9114978684307433e-01, +1.7558583743700984e-01, +8.0580683306393674e-01, -1.6023587522440799e-05, +2.3156491033147126e-05, -3.7735274314700794e-05
01-JUL-2028 12:10:00.0000 ET, -9.0049663686594306e-01, +1.8942244669855801e-01, +7.8292439401832392e-01, -1.5128765155103953e-05, +2.2962791841651051e-05, -3.8537660316715051e-05
01-JUL-2028 12:20:00.0000 ET, -9.0929970586780973e-01, +2.0313785051230249e-01, +7.5956395052306602e-01, -1.4210947251512131e-05, +2.2752406609798449e-05, -3.9328495761415021e-05
01-JUL-2028 12:30:00.0000 ET, -9.1754513107760249e-01, +2.1672191693432019e-01, +7.3573266508810309e-01, -1.3269917257123288e-05, +2.2524932570509866e-05, -4.0106999902117402e-05
01-JUL-2028 12:40:00.0000 ET, -9.2521892291401786e-01, +2.3016426936757006e-01, +7.1143818110200863e-01, -1.2305469375661653e-05, +2.2279957065766585e-05, -4.0872350279533200e-05
01-JUL-2028 12:50:00.0000 ET, -9.3230697204635982e-01, +2.4345428074175191e-01, +6.8668864842467869e-01, -1.1317410584097149e-05, +2.2017057901332921e-05, -4.1623680776586787e-05
01-JUL-2028 13:00:00.0000 ET, -9.3879505771051652e-01, +2.5658106791936297e-01, +6.6149275017666487e-01, -1.0305562849900556e-05, +2.1735803802787484e-05, -4.2360079652536846e-05
