# Apophis->SpacecraftY in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 00:00:00.0000 ET, -3.3925557289467306e-02, -4.6863942173963041e-01, +1.2804714780349655e+00, +3.9626490887801602e-05, +9.3892884168185679e-06, +4.4862705492002076e-06
13-DEC-2028 00:10:00.0000 ET, -1.0145208489220020e-02, -4.6290357289544148e-01, +1.2828940425276845e+00, +3.9638548767672419e-05, +9.7295424978368034e-06, +3.5886381171937367e-06
13-DEC-2028 00:20:00.0000 ET, +1.3637353021344764e-02, -4.5696477415945658e-01, +1.2847774876047986e+00, +3.9633865235577092e-05, +1.0065779402988585e-05, +2.6892248020957554e-06
13-DEC-2028 00:30:00.0000 ET, +3.7412079082492111e-02, -4.5082545163750626e-01, +1.2861207788306785e+00, +3.9612427894750922e-05, +1.0397946111104890e-05, +1.7881441833942533e-06
13-DEC-2028 00:40:00.0000 ET, +6.1168911762725521e-02, -4.4448806387261680e-01, +1.2869229498415917e+00, +3.9574216638376520e-05, +1.0725987513513912e-05, +8.8550965402932090e-07
13-DEC-2028 00:50:00.0000 ET, +8.4897778764499582e-02, -4.3795510312983377e-01, +1.2871831023420501e+00, +3.9519203706166910e-05, +1.1049846295130212e-05, -1.8565225550449142e-08
13-DEC-2028 01:00:00.0000 ET, +1.0858858884405542e-01, -4.3122909675672860e-01, +1.2869004063103973e+00, +3.9447353689288588e-05, +1.1369462803196534e-05, -9.2396637886135635e-07
13-DEC-2028 01:10:00.0000 ET, +1.3223122721480532e-01, -4.2431260862793779e-01, +1.2860741004131577e+00, +3.9358623529717149e-05, +1.1684774913749964e-05, -1.8305788628538470e-06
13-DEC-2028 01:20:00.0000 ET, +1.5581555094415861e-01, -4.1720824067213869e-01, +1.2847034926313228e+00, +3.9252962444491247e-05, +1.1995717875278858e-05, -2.7382865123150767e-06
13-DEC-2028 01:30:00.0000 ET, +1.7933138433693549e-01, -4.0991863448448107e-01, +1.2827879611016026e+00, +3.9130311851948236e-05, +1.2302224148517354e-05, -3.6469715722951679e-06
13-DEC-2028 01:40:00.0000 ET, +2.0276851433279916e-01, -4.0244647301766556e-01, +1.2803269551749799e+00, +3.8990606085138801e-05, +1.2604223479922314e-05, -4.5565143683014259e-06
13-DEC-2028 01:50:00.0000 ET, +2.2611668582606895e-01, -3.9479448238041537e-01, +1.2773199967011766e+00, +3.8833770760328268e-05, +1.2901642275982374e-05, -5.4667928553403513e-06
13-DEC-2028 02:00:00.0000 ET, +2.4936559708197562e-01, -3.8696543369326153e-01, +1.2737666815350457e+00, +3.8659724372372351e-05, +1.3194403930086263e-05, -6.3776823075930258e-06
13-DEC-2028 02:10:00.0000 ET, +2.7250489503680941e-01, -3.7896214506719783e-01, +1.2696666812818069e+00, +3.8468377541356825e-05, +1.3482428451810030e-05, -7.2890548940261202e-06
13-DEC-2028 02:20:00.0000 ET, +2.9552417065593017e-01, -3.7078748365511027e-01, +1.2650197452770404e+00, +3.8259633073170384e-05, +1.3765632331448773e-05, -8.2007792758170147e-06
13-DEC-2028 02:30:00.0000 ET, +3.1841295425282290e-01, -3.6244436780782846e-01, +1.2598257028145714e+00, +3.8033385985059148e-05, +1.4043928391172450e-05, -9.1127201938491072e-06
13-DEC-2028 02:40:00.0000 ET, +3.4116071080652088e-01, -3.5393576932615650e-01, +1.2540844656271513e+00, +3.7789523478724635e-05, +1.4317225615068871e-05, -1.0024738038535303e-05
13-DEC-2028 02:50:00.0000 ET, +3.6375683527034075e-01, -3.4526471581407986e-01, +1.2477960306287659e+00, +3.7527924930025638e-05, +1.4585428979100104e-05, -1.0936688406669287e-05
13-DEC-2028 03:00:00.0000 ET, +3.8619064787316071e-01, -3.3643429313612766e-01, +1.2409604829277039e+00, +3.7248461761286759e-05, +1.4848439233140247e-05, -1.1848421617122924e-05
13-DEC-2028 03:10:00.0000 ET, +4.0845138945237280e-01, -3.2744764796834963e-01, +1.2335779991115572e+00, +3.6950998097976959e-05, +1.5106152958669770e-05, -1.2759782379360443e-05
13-DEC-2028 03:20:00.0000 ET, +4.3052821667028213e-01, -3.1830799050040587e-01, +1.2256488508478807e+00, +3.6635389385392241e-05, +1.5358461886074450e-05, -1.3670609000070369e-05
13-DEC-2028 03:30:00.0000 ET, +4.5241019740025740e-01, -3.0901859719016322e-01, +1.2171734087502601e+00, +3.6301483830592490e-05, +1.5605253220281502e-05, -1.4580733182613247e-05
13-DEC-2028 03:40:00.0000 ET, +4.7408630599069257e-01, -2.9958281368015027e-01, +1.2081521465852254e+00, +3.5949121638299020e-05, +1.5846409164345401e-05, -1.5489979323172470e-05
13-DEC-2028 03:50:00.0000 ET, +4.9554541857978945e-01, -2.9000405781926281e-01, +1.1985856457978394e+00, +3.5578135252937414e-05, +1.6081806797938191e-05, -1.6398164006378280e-05
13-DEC-2028 04:00:00.0000 ET, +5.1677630843850508e-01, -2.8028582280233905e-01, +1.1884746003732214e+00, +3.5188349331907100e-05, +1.6311317847824582e-05, -1.7305095411369765e-05
13-DEC-2028 04:10:00.0000 ET, +5.3776764130813171e-01, -2.7043168044679866e-01, +1.1778198220608989e+00, +3.4779580804613260e-05, +1.6534808480159059e-05, -1.8210572711554339e-05
13-DEC-2028 04:20:00.0000 ET, +5.5850797078130743e-01, -2.6044528459391131e-01, +1.1666222459655422e+00, +3.4351638912283360e-05, +1.6752139074344585e-05, -1.9114385438449909e-05
13-DEC-2028 04:30:00.0000 ET, +5.7898573372869200e-01, -2.5033037464000901e-01, +1.1548829365205044e+00, +3.3904325389345479e-05, +1.6963164044904519e-05, -2.0016312867785152e-05
13-DEC-2028 04:40:00.0000 ET, +5.9918924571634613e-01, -2.4009077922890798e-01, +1.1426030938876239e+00, +3.3437434164701524e-05, +1.7167731444444116e-05, -2.0916123175525197e-05
13-DEC-2028 04:50:00.0000 ET, +6.1910669658429285e-01, -2.2973042004091226e-01, +1.1297840607377510e+00, +3.2950752077351156e-05, +1.7365682987812567e-05, -2.1813572965954510e-05
13-DEC-2028 05:00:00.0000 ET, +6.3872614595786403e-01, -2.1925331578524943e-01, +1.1164273295289247e+00, +3.2444058482478967e-05, +1.7556853584480617e-05, -2.2708406307009495e-05
13-DEC-2028 05:10:00.0000 ET, +6.5803551894510759e-01, -2.0866358629610038e-01, +1.1025345502041106e+00, +3.1917125567884940e-05, +1.7741071158924058e-05, -2.3600354006927242e-05
13-DEC-2028 05:20:00.0000 ET, +6.7702260186766761e-01, -1.9796545680866329e-01, +1.0881075384005772e+00, +3.1369718566276668e-05, +1.7918156411624897e-05, -2.4489132807836843e-05
