# Apophis->SpacecraftZ in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 00:00:00.0000 ET, -4.6984429587622256e-01, +6.6361333918388499e-01, -1.0482948618949419e+00, +3.2235815563754997e-05, -8.3597244163555940e-06, -2.6313811552500441e-05
01-JUL-2028 00:10:00.0000 ET, -4.5039600147790998e-01, +6.5844723856343923e-01, -1.0638414881857243e+00, +3.2588970966355509e-05, -8.8593538803450963e-06, -2.5507217910139692e-05
01-JUL-2028 00:20:00.0000 ET, -4.3074094855147477e-01, +6.5298362218655392e-01, -1.0789022783202444e+00, +3.2925037076630598e-05, -9.3514450876462528e-06, -2.4694398645813877e-05
01-JUL-2028 00:30:00.0000 ET, -4.1088934369963243e-01, +6.4722701030145080e-01, -1.0934735696398044e+00, +3.3244169388963904e-05, -9.8360070744264722e-06, -2.3875594437656085e-05
01-JUL-2028 00:40:00.0000 ET, -3.9085130227850456e-01, +6.4118191775899636e-01, -1.1075518408169864e+00, +3.3546516490220459e-05, -1.0313048736444311e-05, -2.3051035759609426e-05
01-JUL-2028 00:50:00.0000 ET, -3.7063685261539803e-01, +6.3485285418516835e-01, -1.1211337058600503e+00, +3.3832219835420976e-05, -1.0782578540387112e-05, -2.2220943319914803e-05
01-JUL-2028 01:00:00.0000 ET, -3.5025594031310991e-01, +6.2824432430985744e-01, -1.1342159084077061e+00, +3.4101413758512374e-05, -1.1244604320619502e-05, -2.1385528625078071e-05
01-JUL-2028 01:10:00.0000 ET, -3.2971843250279609e-01, +6.2136082839845042e-01, -1.1467953163788822e+00, +3.4354225453056604e-05, -1.1699133075790749e-05, -2.0544994499968425e-05
01-JUL-2028 01:20:00.0000 ET, -3.0903412215859138e-01, +6.1420686282172543e-01, -1.1588689169028821e+00, +3.4590774965472680e-05, -1.2146170777361147e-05, -1.9699535595580699e-05
01-JUL-2028 01:30:00.0000 ET, -2.8821273234813327e-01, +6.0678692071234286e-01, -1.1704338115812152e+00, +3.4811175404663493e-05, -1.2585722271741199e-05, -1.8849338972505184e-05
01-JUL-2028 01:40:00.0000 ET, -2.6726392057586440e-01, +5.9910549276317671e-01, -1.1814872119934707e+00, +3.5015531911931950e-05, -1.3017790700226337e-05, -1.7994584110843069e-05
01-JUL-2028 01:50:00.0000 ET, -2.4619728298705842e-01, +5.9116706807383479e-01, -1.1920264355458561e+00, +3.5203943752584723e-05, -1.3442378156559275e-05, -1.7135444303769361e-05
01-JUL-2028 02:00:00.0000 ET, -2.2502235870350706e-01, +5.8297613514707547e-01, -1.2020489015275360e+00, +3.5376502208075800e-05, -1.3859484694481691e-05, -1.6272086151158882e-05
01-JUL-2028 02:10:00.0000 ET, -2.0374863408546631e-01, +5.7453718295166678e-01, -1.2115521274605923e+00, +3.5533291684280577e-05, -1.4269108608997415e-05, -1.5404670482138953e-05
01-JUL-2028 02:20:00.0000 ET, -1.8238554697101855e-01, +5.6585470206773447e-01, -1.2205337257098492e+00, +3.5674389481749489e-05, -1.4671246195120753e-05, -1.4533352664017368e-05
01-JUL-2028 02:30:00.0000 ET, -1.6094249095231605e-01, +5.5693318593650631e-01, -1.2289914003220301e+00, +3.5799865818181582e-05, -1.5065891610186638e-05, -1.3658283013705946e-05
01-JUL-2028 02:40:00.0000 ET, -1.3942881960581172e-01, +5.4777713217759838e-01, -1.2369229441204559e+00, +3.5909783835552581e-05, -1.5453036734177639e-05, -1.2779607191720481e-05
01-JUL-2028 02:50:00.0000 ET, -1.1785385074728341e-01, +5.3839104400159299e-01, -1.2443262360232448e+00, +3.6004199631871617e-05, -1.5832671044035294e-05, -1.1897466596059222e-05
01-JUL-2028 03:00:00.0000 ET, -9.6226870625941582e-02, +5.2877943167840569e-01, -1.2511992386083837e+00, +3.6083162449617594e-05, -1.6204781564801114e-05, -1.1011998786602220e-05
01-JUL-2028 03:10:00.0000 ET, -7.4557138212268170e-02, +5.1894681412890398e-01, -1.2575399958736528e+00, +3.6146713745805124e-05, -1.6569352306230349e-05, -1.0123337603316076e-05
01-JUL-2028 03:20:00.0000 ET, -5.2853889306316251e-02, +5.0889772051400284e-01, -1.2633466312661756e+00, +3.6194889135031354e-05, -1.6926365028686250e-05, -9.2316140515240772e-06
01-JUL-2028 03:30:00.0000 ET, -3.1126340825769906e-02, +4.9863669198421867e-01, -1.2686173458771104e+00, +3.6227716417822124e-05, -1.7275798203298261e-05, -8.3369561276223623e-06
01-JUL-2028 03:40:00.0000 ET, -9.3836949722675769e-03, +4.8816828345067126e-01, -1.2733504168833021e+00, +3.6245216632363723e-05, -1.7617627370039990e-05, -7.4394894544261505e-06
01-JUL-2028 03:50:00.0000 ET, +1.2364856578538554e-02, +4.7749706544297643e-01, -1.2775441961921685e+00, +3.6247403841150245e-05, -1.7951824913105663e-05, -6.5393375719301754e-06
01-JUL-2028 04:00:00.0000 ET, +3.4110128499617462e-02, +4.6662762603651664e-01, -1.2811971092978280e+00, +3.6234285129530249e-05, -1.8278359934512293e-05, -5.6366222841933729e-06
01-JUL-2028 04:10:00.0000 ET, +5.5842937619080178e-02, +4.5556457286298863e-01, -1.2843076543423280e+00, +3.6205860612501107e-05, -1.8597198131869430e-05, -4.7314640075112622e-06
01-JUL-2028 04:20:00.0000 ET, +7.7554098752443346e-02, +4.4431253518329916e-01, -1.2868744013890010e+00, +3.6162123455664667e-05, -1.8908301684015289e-05, -3.8239821189041110e-06
01-JUL-2028 04:30:00.0000 ET, +9.9234420542365101e-02, +4.3287616603123880e-01, -1.2888959919030176e+00, +3.6103059866964809e-05, -1.9211629121967442e-05, -2.9142952999194460e-06
01-JUL-2028 04:40:00.0000 ET, +1.2087470125104269e-01, +4.2126014445698667e-01, -1.2903711384343370e+00, +3.6028649172461488e-05, -1.9507135243103153e-05, -2.0025218912229317e-06
01-JUL-2028 04:50:00.0000 ET, +1.4246572464379459e-01, +4.0946917779864639e-01, -1.2912986245194689e+00, +3.5938863653317936e-05, -1.9794770899862148e-05, -1.0887802234274899e-06
01-JUL-2028 05:00:00.0000 ET, +1.6399825578390292e-01, +3.9750800407605258e-01, -1.2916773047832975e+00, +3.5833668654446266e-05, -2.0074482927827449e-05, -1.7318898384754124e-07
01-JUL-2028 05:10:00.0000 ET, +1.8546303687332394e-01, +3.8538139443771069e-01, -1.2915061052585552e+00, +3.5713022641861464e-05, -2.0346214049121385e-05, +7.4413242794873185e-07
01-JUL-2028 05:20:00.0000 ET, +2.0685078309137839e-01, +3.7309415568625826e-01, -1.2907840239187482e+00, +3.5576877085314885e-05, -2.0609902678355432e-05, +1.6630635470870839e-06
01-JUL-2028 05:30:00.0000 ET, +2.2815217842018812e-01, +3.6065113289029749e-01, -1.2895101314285056e+00, +3.5425176519832599e-05, -2.0865482822951573e-05, +2.5834824736124529e-06
01-JUL-2028 05:40:00.0000 ET, +2.4935787147642671e-01, +3.4805721207324047e-01, -1.2876835721156927e+00, +3.5257858529467900e-05, -2.1112883938917902e-05, +3.5052655008275117e-06
01-JUL-2028 05:50:00.0000 ET, +2.7045847133950612e-01, +3.3531732298620648e-01, -1.2853035651691374e+00, +3.5074853727200557e-05, -2.1352030780730271e-05, +4.4282867338937888e-06
01-JUL-2028 06:00:00.0000 ET, +2.9144454338461473e-01, +3.2243644196221588e-01, -1.2823694060670996e+00, +3.4876085859722980e-05, -2.1582843321009797e-05, +5.3524177072871405e-06
