# Apophis->SpacecraftZ in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 00:00:00.0000 ET, +3.0428423387198960e-02, +4.8120918827270348e-01, -1.2758890568066648e+00, -3.9628879879855215e-05, -9.3898544759097039e-06, -4.4865410163662899e-06
13-DEC-2028 00:10:00.0000 ET, +6.6466412361207003e-03, +4.7547299972664059e-01, -1.2783117836032443e+00, -3.9640937611720808e-05, -9.7301087783206830e-06, -3.5889086628946298e-06
13-DEC-2028 00:20:00.0000 ET, -1.7137353536469564e-02, +4.6953386115595463e-01, -1.2801953910313368e+00, -3.9636253931612186e-05, -1.0066345904837191e-05, -2.6894954263208366e-06
13-DEC-2028 00:30:00.0000 ET, -4.0913512770831953e-02, +4.6339419866649273e-01, -1.2815388446553064e+00, -3.9614816442764650e-05, -1.0398512834290214e-05, -1.7884148861329152e-06
13-DEC-2028 00:40:00.0000 ET, -6.4671778535465130e-02, +4.5705647080129791e-01, -1.2823411781114142e+00, -3.9576605038360811e-05, -1.0726554458007947e-05, -8.8578043527095146e-07
13-DEC-2028 00:50:00.0000 ET, -8.8402078532818937e-02, +4.5052316982543283e-01, -1.2826014931041656e+00, -3.9521591958113715e-05, -1.1050413460904954e-05, +1.8294365816456824e-08
13-DEC-2028 01:00:00.0000 ET, -1.1209432151912958e-01, +4.4379682308648560e-01, -1.2823189596118985e+00, -3.9449741793189843e-05, -1.1370030190223984e-05, +9.2369544064560875e-07
13-DEC-2028 01:10:00.0000 ET, -1.3573839270780463e-01, +4.3687999445910952e-01, -1.2814928163011303e+00, -3.9361011485564803e-05, -1.1685342522002127e-05, +1.8303078461669489e-06
13-DEC-2028 01:20:00.0000 ET, -1.5932414916624840e-01, +4.2977528587199881e-01, -1.2801223711528460e+00, -3.9255350252277251e-05, -1.1996285704727758e-05, +2.7380154171676276e-06
13-DEC-2028 01:30:00.0000 ET, -1.8284141519927638e-01, +4.2248533892031992e-01, -1.2782070023037500e+00, -3.9132699511664553e-05, -1.2302792199134989e-05, +3.6467003986977689e-06
13-DEC-2028 01:40:00.0000 ET, -2.0627997774654694e-01, +4.1501283655679017e-01, -1.2757461591048180e+00, -3.8992993596777366e-05, -1.2604791751680692e-05, +4.5562431162646917e-06
13-DEC-2028 01:50:00.0000 ET, -2.2962958170237449e-01, +4.0736050489014963e-01, -1.2727393634057658e+00, -3.8836158123881060e-05, -1.2902210768853528e-05, +5.4665215248748637e-06
13-DEC-2028 02:00:00.0000 ET, -2.5287992533198517e-01, +3.9953111504094629e-01, -1.2691862110614400e+00, -3.8662111587831325e-05, -1.3194972644042221e-05, +6.3774108987093872e-06
13-DEC-2028 02:10:00.0000 ET, -2.7602065557166416e-01, +3.9152748512019064e-01, -1.2650863736770543e+00, -3.8470764608713959e-05, -1.3482997386822825e-05, +7.2887834067349245e-06
13-DEC-2028 02:20:00.0000 ET, -2.9904136338676662e-01, +3.8335248228078517e-01, -1.2604396005881819e+00, -3.8262019992417668e-05, -1.3766201487490438e-05, +8.2005077101288531e-06
13-DEC-2028 02:30:00.0000 ET, -3.2193157909077280e-01, +3.7500902487357674e-01, -1.2552457210886423e+00, -3.8035772756188538e-05, -1.4044497768215025e-05, +9.1124485497745735e-06
13-DEC-2028 02:40:00.0000 ET, -3.4468076766271111e-01, +3.6650008469938600e-01, -1.2495046469111801e+00, -3.7791910101728122e-05, -1.4317795213084397e-05, +1.0024466316084985e-05
13-DEC-2028 02:50:00.0000 ET, -3.6727832405589311e-01, +3.5782868936221512e-01, -1.2432163749697751e+00, -3.7530311404895199e-05, -1.4585998798060630e-05, +1.0936416605853766e-05
13-DEC-2028 03:00:00.0000 ET, -3.8971356849919270e-01, +3.4899792472661012e-01, -1.2363809903727094e+00, -3.7250848088014391e-05, -1.4849009273017824e-05, +1.1848149737952783e-05
13-DEC-2028 03:10:00.0000 ET, -4.1197574182999686e-01, +3.4001093746863731e-01, -1.2289986697075685e+00, -3.6953384276554652e-05, -1.5106723219436457e-05, +1.2759510421846292e-05
13-DEC-2028 03:20:00.0000 ET, -4.3405400071060579e-01, +3.3087093777797383e-01, -1.2210696846419009e+00, -3.6637775415811999e-05, -1.5359032367702309e-05, +1.3670336964222778e-05
13-DEC-2028 03:30:00.0000 ET, -4.5593741301438351e-01, +3.2158120211250307e-01, -1.2125944057892863e+00, -3.6303869712846305e-05, -1.5605823922742590e-05, +1.4580461068442793e-05
13-DEC-2028 03:40:00.0000 ET, -4.7761495308971913e-01, +3.1214507611477060e-01, -1.2035733069162484e+00, -3.5951507372378894e-05, -1.5846980087611790e-05, +1.5489707130689738e-05
13-DEC-2028 03:50:00.0000 ET, -4.9907549707480980e-01, +3.0256597763368870e-01, -1.1940069694678432e+00, -3.5580520838835360e-05, -1.6082377941981957e-05, +1.6397891735593840e-05
13-DEC-2028 04:00:00.0000 ET, -5.2030781824060746e-01, +2.9284739986411251e-01, -1.1838960874291835e+00, -3.5190734769615133e-05, -1.6311889212617815e-05, +1.7304823062294202e-05
13-DEC-2028 04:10:00.0000 ET, -5.4130058232840006e-01, +2.8299291462347814e-01, -1.1732414725497911e+00, -3.4781966094123386e-05, -1.6535380065673811e-05, +1.8210300284198223e-05
13-DEC-2028 04:20:00.0000 ET, -5.6204234293082034e-01, +2.7300617575307257e-01, -1.1620440599343296e+00, -3.4354024053587589e-05, -1.6752710880552959e-05, +1.9114112932823812e-05
13-DEC-2028 04:30:00.0000 ET, -5.8252153691852371e-01, +2.6289092264924413e-01, -1.1503049140161459e+00, -3.3906710382435856e-05, -1.6963736071778605e-05, +2.0016040283899659e-05
13-DEC-2028 04:40:00.0000 ET, -6.0272647985756589e-01, +2.5265098395582603e-01, -1.1380252349570719e+00, -3.3439819009570059e-05, -1.7168303691956002e-05, +2.0915850513390848e-05
13-DEC-2028 04:50:00.0000 ET, -6.2264536158796524e-01, +2.4229028135313874e-01, -1.1252063654279514e+00, -3.2953136773989894e-05, -1.7366255455934363e-05, +2.1813300225581889e-05
13-DEC-2028 05:00:00.0000 ET, -6.4226624173504898e-01, +2.3181283355042676e-01, -1.1118497978868174e+00, -3.2446443030879927e-05, -1.7557426273184409e-05, +2.2708133488409173e-05
13-DEC-2028 05:10:00.0000 ET, -6.6157704540685958e-01, +2.2122276038188793e-01, -1.0979571822766294e+00, -3.1919509968040165e-05, -1.7741644068181961e-05, +2.3600081110109780e-05
13-DEC-2028 05:20:00.0000 ET, -6.8056555892503701e-01, +2.1052428708273674e-01, -1.0835303342346490e+00, -3.1372102818178204e-05, -1.7918729541409021e-05, +2.4488859832812805e-05
13-DEC-2028 05:30:00.0000 ET, -6.9921942569799655e-01, +1.9972174870790171e-01, -1.0685712437952202e+00, -3.0803979996285358e-05, -1.8088495877042075e-05, +2.5374171437340816e-05
13-DEC-2028 05:40:00.0000 ET, -7.1752614219728517e-01, +1.8881959472310605e-01, -1.0530820846376230e+00, -3.0214893347587866e-05, -1.8250748480087872e-05, +2.6255701842735210e-05
13-DEC-2028 05:50:00.0000 ET, -7.3547305409763031e-01, +1.7782239375293918e-01, -1.0370652238839666e+00, -2.9604588410950352e-05, -1.8405284699326035e-05, +2.7133120154243030e-05
13-DEC-2028 06:00:00.0000 ET, -7.5304735259143729e-01, +1.6673483849394544e-01, -1.0205232324778633e+00, -2.8972804829690675e-05, -1.8551893601552626e-05, +2.8006077737072749e-05
13-DEC-2028 06:10:00.0000 ET, -7.7023607085216661e-01, +1.5556175082201862e-01, -1.0034588962048883e+00, -2.8319276222432274e-05, -1.8690355437421600e-05, +2.8874206861833081e-05
13-DEC-2028 06:20:00.0000 ET, -7.8702608083220338e-01, +1.4430808701437536e-01, -9.8587522728047972e-01, -2.7643731466354652e-05, -1.8820441814235756e-05, +2.9737120193670043e-05
13-DEC-2028 06:30:00.0000 ET, -8.0340409016476066e-01, +1.3297894322394854e-01, -9.6777547670539354e-01, -2.6945894327779581e-05, -1.8941914977330051e-05, +3.0594409115893268e-05
13-DEC-2028 06:40:00.0000 ET, -8.1935663947687021e-01, +1.2157956106475698e-01, -9.4916314723938244e-01, -2.6225484322999478e-05, -1.9054527698977953e-05, +3.1445642765478424e-05
13-DEC-2028 06:50:00.0000 ET, -8.3487009996225803e-01, +1.1011533340796431e-01, -9.3004200715021923e-01, -2.5482217264609997e-05, -1.9158022970407042e-05, +3.2290366770739306e-05
13-DEC-2028 07:00:00.0000 ET, -8.4993067134682732e-01, +9.8591810339622943e-02, -9.1041610470743828e-01, -2.4715805889504848e-05, -1.9252133699139221e-05, +3.3128101938760274e-05
13-DEC-2028 07:10:00.0000 ET, -8.6452438025408762e-01, +8.7014705299722217e-02, -8.9028978348127485e-01, -2.3925960586343143e-05, -1.9336582419812447e-05, +3.3958342900878064e-05
13-DEC-2028 07:20:00.0000 ET, -8.7863707904358357e-01, +7.5389901386770153e-02, -8.6966769846137548e-01, -2.3112390223895584e-05, -1.9411081019029286e-05, +3.4780556716373917e-05
13-DEC-2028 07:30:00.0000 ET, -8.9225444514861374e-01, +6.3723457841413200e-02, -8.4855483305395729e-01, -2.2274803035377670e-05, -1.9475330442941299e-05, +3.5594181383172972e-05
13-DEC-2028 07:40:00.0000 ET, -9.0536198100655951e-01, +5.2021616683728178e-02, -8.2695651696168249e-01, -2.1412907591298151e-05, -1.9529020402010629e-05, +3.6398624269682991e-05
13-DEC-2028 07:50:00.0000 ET, -9.1794501462475286e-01, +4.0290809510867831e-02, -8.0487844499950467e-01, -2.0526414094167074e-05, -1.9571829226335376e-05, +3.7193260706624306e-05
13-DEC-2028 08:00:00.0000 ET, -9.2998870085480034e-01, +2.8537664446113165e-02, -7.8232669688027090e-01, -1.9615035413945228e-05, -1.9603423485381123e-05, +3.7977432131373808e-05
13-DEC-2028 08:10:00.0000 ET, -9.4147802346104148e-01, +1.6769013223530638e-02, -7.5930775799528860e-01, -1.8678488618645219e-05, -1.9623457863864968e-05, +3.8750444546468437e-05
13-DEC-2028 08:20:00.0000 ET, -9.5239779807253244e-01, +4.9918983911299009e-03, -7.3582854121454100e-01, -1.7716496446071248e-05, -1.9631574925110695e-05, +3.9511566711593982e-05
13-DEC-2028 08:30:00.0000 ET, -9.6273267608457025e-01, -6.7864193644249227e-03, -7.1189640976859137e-01, -1.6728789023309105e-05, -1.9627404962653302e-05, +4.0260028380779041e-05
13-DEC-2028 08:40:00.0000 ET, -9.7246714965348069e-01, -1.8558453822620669e-02, -6.8751920118653720e-01, -1.5715105738954083e-05, -1.9610565874282759e-05, +4.0995018477754255e-05
13-DEC-2028 08:50:00.0000 ET, -9.8158555784157786e-01, -3.0316485747648780e-02, -6.6270525238037870e-01, -1.4675197262378035e-05, -1.9580663042449411e-05, +4.1715683169391239e-05
13-DEC-2028 09:00:00.0000 ET, -9.9007209408097829e-01, -4.2052555386596691e-02, -6.3746342582952686e-01, -1.3608827863246653e-05, -1.9537289341208859e-05, +4.2421124046869950e-05
13-DEC-2028 09:10:00.0000 ET, -9.9791081504336332e-01, -5.3758454947876011e-02, -6.1180313693510180e-01, -1.2515777865180579e-05, -1.9480025132801923e-05, +4.3110396167961587e-05
13-DEC-2028 09:20:00.0000 ET, -1.0050856510687021e+00, -6.5425721108076873e-02, -5.8573438253478227e-01, -1.1395846314869871e-05, -1.9408438304652899e-05, +4.3782506035804421e-05
