# Sun->Earth Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 00:00:00.0000 ET, +2.4575004380489275e+07, -1.3771209613951981e+08, -5.9694936700253308e+07, +2.8912253286326965e+01, +4.3144731683520767e+00, +1.8700396462693949e+00
01-JUL-2028 00:10:00.0000 ET, +2.4592351565565895e+07, -1.3770950652054754e+08, -5.9693814271135271e+07, +2.8911696903667160e+01, +4.3175900625059054e+00, +1.8713907428751151e+00
01-JUL-2028 00:20:00.0000 ET, +2.4609698416695196e+07, -1.3770691503145674e+08, -5.9692691031367041e+07, +2.8911140128587054e+01, +4.3207068968694289e+00, +1.8727418135660368e+00
01-JUL-2028 00:30:00.0000 ET, +2.4627044933641713e+07, -1.3770432167228326e+08, -5.9691566980964176e+07, +2.8910582961094107e+01, +4.3238236714024953e+00, +1.8740928583247536e+00
01-JUL-2028 00:40:00.0000 ET, +2.4644391116170023e+07, -1.3770172644306305e+08, -5.9690442119942240e+07, +2.8910025401195792e+01, +4.3269403860649440e+00, +1.8754438771338577e+00
01-JUL-2028 00:50:00.0000 ET, +2.4661736964044675e+07, -1.3769912934383196e+08, -5.9689316448316813e+07, +2.8909467448899601e+01, +4.3300570408166212e+00, +1.8767948699759445e+00
01-JUL-2028 01:00:00.0000 ET, +2.4679082477030225e+07, -1.3769653037462604e+08, -5.9688189966103464e+07, +2.8908909104213024e+01, +4.3331736356173680e+00, +1.8781458368336055e+00
01-JUL-2028 01:10:00.0000 ET, +2.4696427654891249e+07, -1.3769392953548121e+08, -5.9687062673317805e+07, +2.8908350367143530e+01, +4.3362901704270360e+00, +1.8794967776894376e+00
01-JUL-2028 01:20:00.0000 ET, +2.4713772497392323e+07, -1.3769132682643354e+08, -5.9685934569975443e+07, +2.8907791237698646e+01, +4.3394066452054672e+00, +1.8808476925260333e+00
01-JUL-2028 01:30:00.0000 ET, +2.4731117004298016e+07, -1.3768872224751899e+08, -5.9684805656091981e+07, +2.8907231715885839e+01, +4.3425230599125104e+00, +1.8821985813259898e+00
01-JUL-2028 01:40:00.0000 ET, +2.4748461175372913e+07, -1.3768611579877368e+08, -5.9683675931683064e+07, +2.8906671801712633e+01, +4.3456394145080122e+00, +1.8835494440719003e+00
01-JUL-2028 01:50:00.0000 ET, +2.4765805010381602e+07, -1.3768350748023364e+08, -5.9682545396764316e+07, +2.8906111495186526e+01, +4.3487557089518205e+00, +1.8849002807463611e+00
