# Sun->Earth Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 00:00:00.0000 ET, +2.2784969197573651e+07, +1.3349893795008858e+08, +5.7868220268400557e+07, -2.9914536574715033e+01, +4.1268115382825172e+00, +1.7890520949657778e+00
13-DEC-2028 00:10:00.0000 ET, +2.2767020305291850e+07, +1.3350141303866349e+08, +5.7869293266900025e+07, -2.9915104290260793e+01, +4.1234836998726800e+00, +1.7876095649418577e+00
13-DEC-2028 00:20:00.0000 ET, +2.2749071072514571e+07, +1.3350388613051459e+08, +5.7870365399872482e+07, -2.9915671559663007e+01, +4.1201557922929704e+00, +1.7861670049321763e+00
13-DEC-2028 00:30:00.0000 ET, +2.2731121499509487e+07, +1.3350635722560041e+08, +5.7871436667299949e+07, -2.9916238382910777e+01, +4.1168278155951743e+00, +1.7847244149591805e+00
13-DEC-2028 00:40:00.0000 ET, +2.2713171586544305e+07, +1.3350882632387951e+08, +5.7872507069164447e+07, -2.9916804759993237e+01, +4.1134997698310825e+00, +1.7832817950453188e+00
13-DEC-2028 00:50:00.0000 ET, +2.2695221333886735e+07, +1.3351129342531040e+08, +5.7873576605448022e+07, -2.9917370690899510e+01, +4.1101716550524809e+00, +1.7818391452130413e+00
13-DEC-2028 01:00:00.0000 ET, +2.2677270741804462e+07, +1.3351375852985176e+08, +5.7874645276132725e+07, -2.9917936175618735e+01, +4.1068434713111648e+00, +1.7803964654847970e+00
13-DEC-2028 01:10:00.0000 ET, +2.2659319810565226e+07, +1.3351622163746220e+08, +5.7875713081200629e+07, -2.9918501214140065e+01, +4.1035152186589263e+00, +1.7789537558830368e+00
13-DEC-2028 01:20:00.0000 ET, +2.2641368540436737e+07, +1.3351868274810039e+08, +5.7876780020633809e+07, -2.9919065806452632e+01, +4.1001868971475606e+00, +1.7775110164302124e+00
13-DEC-2028 01:30:00.0000 ET, +2.2623416931686725e+07, +1.3352114186172502e+08, +5.7877846094414368e+07, -2.9919629952545609e+01, +4.0968585068288652e+00, +1.7760682471487761e+00
13-DEC-2028 01:40:00.0000 ET, +2.2605464984582927e+07, +1.3352359897829485e+08, +5.7878911302524425e+07, -2.9920193652408173e+01, +4.0935300477546370e+00, +1.7746254480611798e+00
13-DEC-2028 01:50:00.0000 ET, +2.2587512699393090e+07, +1.3352605409776859e+08, +5.7879975644946091e+07, -2.9920756906029492e+01, +4.0902015199766781e+00, +1.7731826191898776e+00
13-DEC-2028 02:00:00.0000 ET, +2.2569560076384947e+07, +1.3352850722010507e+08, +5.7881039121661507e+07, -2.9921319713398734e+01, +4.0868729235467871e+00, +1.7717397605573240e+00
13-DEC-2028 02:10:00.0000 ET, +2.2551607115826260e+07, +1.3353095834526312e+08, +5.7882101732652813e+07, -2.9921882074505110e+01, +4.0835442585167705e+00, +1.7702968721859742e+00
13-DEC-2028 02:20:00.0000 ET, +2.2533653817984797e+07, +1.3353340747320159e+08, +5.7883163477902181e+07, -2.9922443989337804e+01, +4.0802155249384304e+00, +1.7688539540982824e+00
13-DEC-2028 02:30:00.0000 ET, +2.2515700183128312e+07, +1.3353585460387935e+08, +5.7884224357391797e+07, -2.9923005457886028e+01, +4.0768867228635770e+00, +1.7674110063167061e+00
13-DEC-2028 02:40:00.0000 ET, +2.2497746211524587e+07, +1.3353829973725533e+08, +5.7885284371103838e+07, -2.9923566480138987e+01, +4.0735578523440150e+00, +1.7659680288637019e+00
13-DEC-2028 02:50:00.0000 ET, +2.2479791903441407e+07, +1.3354074287328847e+08, +5.7886343519020498e+07, -2.9924127056085908e+01, +4.0702289134315564e+00, +1.7645250217617281e+00
13-DEC-2028 03:00:00.0000 ET, +2.2461837259146549e+07, +1.3354318401193778e+08, +5.7887401801124014e+07, -2.9924687185716017e+01, +4.0668999061780111e+00, +1.7630819850332426e+00
