# Sun->Jupiter Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 00:00:00.0000 ET, -8.1448335280072927e+08, -1.4642411111847347e+07, +1.3550664184321485e+07, -2.3842818840271507e-02, -1.1459011406049877e+01, -4.9110445163004304e+00
01-JUL-2028 00:10:00.0000 ET, -8.1448336707041442e+08, -1.4649286518037947e+07, +1.3547717557015473e+07, -2.3722798136377087e-02, -1.1459009229118328e+01, -4.9110465036667703e+00
01-JUL-2028 00:20:00.0000 ET, -8.1448338126808703e+08, -1.4656161922922086e+07, +1.3544770928517174e+07, -2.3602777475069513e-02, -1.1459007051177466e+01, -4.9110484905994669e+00
01-JUL-2028 00:30:00.0000 ET, -8.1448339539374745e+08, -1.4663037326499159e+07, +1.3541824298826842e+07, -2.3482756856357225e-02, -1.1459004872227290e+01, -4.9110504770985219e+00
01-JUL-2028 00:40:00.0000 ET, -8.1448340944739532e+08, -1.4669912728768559e+07, +1.3538877667944741e+07, -2.3362736280248642e-02, -1.1459002692267804e+01, -4.9110524631639354e+00
01-JUL-2028 00:50:00.0000 ET, -8.1448342342903101e+08, -1.4676788129729679e+07, +1.3535931035871131e+07, -2.3242715746752192e-02, -1.1459000511299010e+01, -4.9110544487957100e+00
01-JUL-2028 01:00:00.0000 ET, -8.1448343733865428e+08, -1.4683663529381914e+07, +1.3532984402606273e+07, -2.3122695255876305e-02, -1.1458998329320913e+01, -4.9110564339938465e+00
01-JUL-2028 01:10:00.0000 ET, -8.1448345117626536e+08, -1.4690538927724659e+07, +1.3530037768150425e+07, -2.3002674807629412e-02, -1.1458996146333517e+01, -4.9110584187583459e+00
01-JUL-2028 01:20:00.0000 ET, -8.1448346494186401e+08, -1.4697414324757311e+07, +1.3527091132503849e+07, -2.2882654402019927e-02, -1.1458993962336820e+01, -4.9110604030892073e+00
01-JUL-2028 01:30:00.0000 ET, -8.1448347863545048e+08, -1.4704289720479263e+07, +1.3524144495666806e+07, -2.2762634039056266e-02, -1.1458991777330827e+01, -4.9110623869864352e+00
01-JUL-2028 01:40:00.0000 ET, -8.1448349225702488e+08, -1.4711165114889909e+07, +1.3521197857639551e+07, -2.2642613718746873e-02, -1.1458989591315538e+01, -4.9110643704500294e+00
01-JUL-2028 01:50:00.0000 ET, -8.1448350580658710e+08, -1.4718040507988639e+07, +1.3518251218422351e+07, -2.2522593441100136e-02, -1.1458987404290962e+01, -4.9110663534799901e+00
01-JUL-2028 02:00:00.0000 ET, -8.1448351928413701e+08, -1.4724915899774857e+07, +1.3515304578015463e+07, -2.2402573206124488e-02, -1.1458985216257100e+01, -4.9110683360763208e+00
01-JUL-2028 02:10:00.0000 ET, -8.1448353268967485e+08, -1.4731791290247945e+07, +1.3512357936419148e+07, -2.2282553013828338e-02, -1.1458983027213948e+01, -4.9110703182390205e+00
01-JUL-2028 02:20:00.0000 ET, -8.1448354602320063e+08, -1.4738666679407312e+07, +1.3509411293633662e+07, -2.2162532864220118e-02, -1.1458980837161519e+01, -4.9110722999680920e+00
01-JUL-2028 02:30:00.0000 ET, -8.1448355928471446e+08, -1.4745542067252340e+07, +1.3506464649659272e+07, -2.2042512757308209e-02, -1.1458978646099808e+01, -4.9110742812635353e+00
01-JUL-2028 02:40:00.0000 ET, -8.1448357247421598e+08, -1.4752417453782430e+07, +1.3503518004496234e+07, -2.1922492693101064e-02, -1.1458976454028820e+01, -4.9110762621253521e+00
01-JUL-2028 02:50:00.0000 ET, -8.1448358559170568e+08, -1.4759292838996971e+07, +1.3500571358144809e+07, -2.1802472671607065e-02, -1.1458974260948560e+01, -4.9110782425535433e+00
01-JUL-2028 03:00:00.0000 ET, -8.1448359863718319e+08, -1.4766168222895365e+07, +1.3497624710605256e+07, -2.1682452692834624e-02, -1.1458972066859028e+01, -4.9110802225481089e+00
01-JUL-2028 03:10:00.0000 ET, -8.1448361161064875e+08, -1.4773043605477002e+07, +1.3494678061877837e+07, -2.1562432756792153e-02, -1.1458969871760230e+01, -4.9110822021090526e+00
01-JUL-2028 03:20:00.0000 ET, -8.1448362451210248e+08, -1.4779918986741275e+07, +1.3491731411962811e+07, -2.1442412863488056e-02, -1.1458967675652165e+01, -4.9110841812363750e+00
01-JUL-2028 03:30:00.0000 ET, -8.1448363734154439e+08, -1.4786794366687581e+07, +1.3488784760860441e+07, -2.1322393012930742e-02, -1.1458965478534838e+01, -4.9110861599300764e+00
01-JUL-2028 03:40:00.0000 ET, -8.1448365009897411e+08, -1.4793669745315315e+07, +1.3485838108570984e+07, -2.1202373205128609e-02, -1.1458963280408248e+01, -4.9110881381901583e+00
01-JUL-2028 03:50:00.0000 ET, -8.1448366278439212e+08, -1.4800545122623870e+07, +1.3482891455094699e+07, -2.1082353440090049e-02, -1.1458961081272404e+01, -4.9110901160166218e+00
01-JUL-2028 04:00:00.0000 ET, -8.1448367539779830e+08, -1.4807420498612640e+07, +1.3479944800431849e+07, -2.0962333717823477e-02, -1.1458958881127307e+01, -4.9110920934094686e+00
01-JUL-2028 04:10:00.0000 ET, -8.1448368793919265e+08, -1.4814295873281021e+07, +1.3476998144582694e+07, -2.0842314038337296e-02, -1.1458956679972957e+01, -4.9110940703686978e+00
01-JUL-2028 04:20:00.0000 ET, -8.1448370040857518e+08, -1.4821171246628406e+07, +1.3474051487547494e+07, -2.0722294401639883e-02, -1.1458954477809357e+01, -4.9110960468943148e+00
01-JUL-2028 04:30:00.0000 ET, -8.1448371280594587e+08, -1.4828046618654190e+07, +1.3471104829326507e+07, -2.0602274807739653e-02, -1.1458952274636513e+01, -4.9110980229863159e+00
01-JUL-2028 04:40:00.0000 ET, -8.1448372513130498e+08, -1.4834921989357768e+07, +1.3468158169919997e+07, -2.0482255256644995e-02, -1.1458950070454424e+01, -4.9110999986447048e+00
01-JUL-2028 04:50:00.0000 ET, -8.1448373738465214e+08, -1.4841797358738532e+07, +1.3465211509328222e+07, -2.0362235748364287e-02, -1.1458947865263097e+01, -4.9111019738694832e+00
01-JUL-2028 05:00:00.0000 ET, -8.1448374956598783e+08, -1.4848672726795882e+07, +1.3462264847551441e+07, -2.0242216282905939e-02, -1.1458945659062531e+01, -4.9111039486606511e+00
01-JUL-2028 05:10:00.0000 ET, -8.1448376167531168e+08, -1.4855548093529206e+07, +1.3459318184589917e+07, -2.0122196860278337e-02, -1.1458943451852733e+01, -4.9111059230182113e+00
01-JUL-2028 05:20:00.0000 ET, -8.1448377371262395e+08, -1.4862423458937902e+07, +1.3456371520443903e+07, -2.0002177480489863e-02, -1.1458941243633697e+01, -4.9111078969421618e+00
01-JUL-2028 05:30:00.0000 ET, -8.1448378567792475e+08, -1.4869298823021365e+07, +1.3453424855113670e+07, -1.9882158143548902e-02, -1.1458939034405439e+01, -4.9111098704325071e+00
01-JUL-2028 05:40:00.0000 ET, -8.1448379757121384e+08, -1.4876174185778989e+07, +1.3450478188599473e+07, -1.9762138849463852e-02, -1.1458936824167951e+01, -4.9111118434892473e+00
01-JUL-2028 05:50:00.0000 ET, -8.1448380939249146e+08, -1.4883049547210164e+07, +1.3447531520901570e+07, -1.9642119598243090e-02, -1.1458934612921240e+01, -4.9111138161123833e+00
01-JUL-2028 06:00:00.0000 ET, -8.1448382114175725e+08, -1.4889924907314291e+07, +1.3444584852020225e+07, -1.9522100389894999e-02, -1.1458932400665306e+01, -4.9111157883019159e+00
01-JUL-2028 06:10:00.0000 ET, -8.1448383281901193e+08, -1.4896800266090760e+07, +1.3441638181955693e+07, -1.9402081224427964e-02, -1.1458930187400158e+01, -4.9111177600578486e+00
01-JUL-2028 06:20:00.0000 ET, -8.1448384442425478e+08, -1.4903675623538967e+07, +1.3438691510708243e+07, -1.9282062101850350e-02, -1.1458927973125792e+01, -4.9111197313801798e+00
01-JUL-2028 06:30:00.0000 ET, -8.1448385595748639e+08, -1.4910550979658309e+07, +1.3435744838278126e+07, -1.9162043022170550e-02, -1.1458925757842216e+01, -4.9111217022689111e+00
01-JUL-2028 06:40:00.0000 ET, -8.1448386741870654e+08, -1.4917426334448179e+07, +1.3432798164665606e+07, -1.9042023985396939e-02, -1.1458923541549428e+01, -4.9111236727240444e+00
01-JUL-2028 06:50:00.0000 ET, -8.1448387880791521e+08, -1.4924301687907968e+07, +1.3429851489870943e+07, -1.8922004991537875e-02, -1.1458921324247436e+01, -4.9111256427455805e+00
01-JUL-2028 07:00:00.0000 ET, -8.1448389012511253e+08, -1.4931177040037073e+07, +1.3426904813894399e+07, -1.8801986040601758e-02, -1.1458919105936236e+01, -4.9111276123335221e+00
01-JUL-2028 07:10:00.0000 ET, -8.1448390137029839e+08, -1.4938052390834888e+07, +1.3423958136736229e+07, -1.8681967132596948e-02, -1.1458916886615837e+01, -4.9111295814878693e+00
01-JUL-2028 07:20:00.0000 ET, -8.1448391254347312e+08, -1.4944927740300810e+07, +1.3421011458396699e+07, -1.8561948267531818e-02, -1.1458914666286242e+01, -4.9111315502086219e+00
01-JUL-2028 07:30:00.0000 ET, -8.1448392364463639e+08, -1.4951803088434231e+07, +1.3418064778876066e+07, -1.8441929445414729e-02, -1.1458912444947449e+01, -4.9111335184957818e+00
01-JUL-2028 07:40:00.0000 ET, -8.1448393467378831e+08, -1.4958678435234545e+07, +1.3415118098174591e+07, -1.8321910666254049e-02, -1.1458910222599465e+01, -4.9111354863493517e+00
01-JUL-2028 07:50:00.0000 ET, -8.1448394563092923e+08, -1.4965553780701149e+07, +1.3412171416292533e+07, -1.8201891930058153e-02, -1.1458907999242287e+01, -4.9111374537693333e+00
01-JUL-2028 08:00:00.0000 ET, -8.1448395651605880e+08, -1.4972429124833433e+07, +1.3409224733230155e+07, -1.8081873236835404e-02, -1.1458905774875927e+01, -4.9111394207557240e+00
01-JUL-2028 08:10:00.0000 ET, -8.1448396732917702e+08, -1.4979304467630798e+07, +1.3406278048987713e+07, -1.7961854586594161e-02, -1.1458903549500379e+01, -4.9111413873085290e+00
01-JUL-2028 08:20:00.0000 ET, -8.1448397807028413e+08, -1.4986179809092633e+07, +1.3403331363565471e+07, -1.7841835979342781e-02, -1.1458901323115651e+01, -4.9111433534277484e+00
01-JUL-2028 08:30:00.0000 ET, -8.1448398873938024e+08, -1.4993055149218334e+07, +1.3400384676963689e+07, -1.7721817415089630e-02, -1.1458899095721744e+01, -4.9111453191133814e+00
01-JUL-2028 08:40:00.0000 ET, -8.1448399933646512e+08, -1.4999930488007298e+07, +1.3397437989182621e+07, -1.7601798893843081e-02, -1.1458896867318661e+01, -4.9111472843654305e+00
01-JUL-2028 08:50:00.0000 ET, -8.1448400986153901e+08, -1.5006805825458914e+07, +1.3394491300222535e+07, -1.7481780415611464e-02, -1.1458894637906402e+01, -4.9111492491838975e+00
01-JUL-2028 09:00:00.0000 ET, -8.1448402031460166e+08, -1.5013681161572583e+07, +1.3391544610083688e+07, -1.7361761980403154e-02, -1.1458892407484974e+01, -4.9111512135687834e+00
01-JUL-2028 09:10:00.0000 ET, -8.1448403069565332e+08, -1.5020556496347694e+07, +1.3388597918766340e+07, -1.7241743588226496e-02, -1.1458890176054382e+01, -4.9111531775200898e+00
01-JUL-2028 09:20:00.0000 ET, -8.1448404100469398e+08, -1.5027431829783646e+07, +1.3385651226270750e+07, -1.7121725239089839e-02, -1.1458887943614622e+01, -4.9111551410378160e+00
01-JUL-2028 09:30:00.0000 ET, -8.1448405124172366e+08, -1.5034307161879832e+07, +1.3382704532597182e+07, -1.7001706933001542e-02, -1.1458885710165701e+01, -4.9111571041219655e+00
01-JUL-2028 09:40:00.0000 ET, -8.1448406140674222e+08, -1.5041182492635643e+07, +1.3379757837745890e+07, -1.6881688669969953e-02, -1.1458883475707621e+01, -4.9111590667725382e+00
01-JUL-2028 09:50:00.0000 ET, -8.1448407149975002e+08, -1.5048057822050478e+07, +1.3376811141717140e+07, -1.6761670450003412e-02, -1.1458881240240386e+01, -4.9111610289895342e+00
01-JUL-2028 10:00:00.0000 ET, -8.1448408152074671e+08, -1.5054933150123730e+07, +1.3373864444511190e+07, -1.6641652273110281e-02, -1.1458879003763995e+01, -4.9111629907729579e+00
01-JUL-2028 10:10:00.0000 ET, -8.1448409146973276e+08, -1.5061808476854792e+07, +1.3370917746128298e+07, -1.6521634139298885e-02, -1.1458876766278454e+01, -4.9111649521228085e+00
01-JUL-2028 10:20:00.0000 ET, -8.1448410134670782e+08, -1.5068683802243063e+07, +1.3367971046568729e+07, -1.6401616048577580e-02, -1.1458874527783765e+01, -4.9111669130390867e+00
