# Sun->Jupiter Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 00:00:00.0000 ET, -7.9461868904703438e+08, -1.7628761477740359e+08, -5.6218117711376086e+07, +2.7972946280710538e+00, -1.1124663470647377e+01, -4.8364098663908131e+00
13-DEC-2028 00:10:00.0000 ET, -7.9461701063527036e+08, -1.7629428956772634e+08, -5.6221019554821633e+07, +2.7974112525775081e+00, -1.1124637605090093e+01, -4.8364016186997896e+00
13-DEC-2028 00:20:00.0000 ET, -7.9461533215353155e+08, -1.7630096434252951e+08, -5.6223921393318444e+07, +2.7975278768332328e+00, -1.1124611738551799e+01, -4.8363933705819750e+00
13-DEC-2028 00:30:00.0000 ET, -7.9461365360181808e+08, -1.7630763910181242e+08, -5.6226823226866245e+07, +2.7976445008382180e+00, -1.1124585871032501e+01, -4.8363851220373659e+00
13-DEC-2028 00:40:00.0000 ET, -7.9461197498013043e+08, -1.7631431384557453e+08, -5.6229725055464797e+07, +2.7977611245924550e+00, -1.1124560002532201e+01, -4.8363768730659675e+00
13-DEC-2028 00:50:00.0000 ET, -7.9461029628846860e+08, -1.7632098857381526e+08, -5.6232626879113838e+07, +2.7978777480959343e+00, -1.1124534133050897e+01, -4.8363686236677781e+00
13-DEC-2028 01:00:00.0000 ET, -7.9460861752683294e+08, -1.7632766328653398e+08, -5.6235528697813109e+07, +2.7979943713486453e+00, -1.1124508262588597e+01, -4.8363603738427985e+00
13-DEC-2028 01:10:00.0000 ET, -7.9460693869522321e+08, -1.7633433798373017e+08, -5.6238430511562362e+07, +2.7981109943505791e+00, -1.1124482391145298e+01, -4.8363521235910323e+00
13-DEC-2028 01:20:00.0000 ET, -7.9460525979363966e+08, -1.7634101266540316e+08, -5.6241332320361339e+07, +2.7982276171017264e+00, -1.1124456518721008e+01, -4.8363438729124759e+00
13-DEC-2028 01:30:00.0000 ET, -7.9460358082208264e+08, -1.7634768733155245e+08, -5.6244234124209777e+07, +2.7983442396020775e+00, -1.1124430645315728e+01, -4.8363356218071329e+00
13-DEC-2028 01:40:00.0000 ET, -7.9460190178055215e+08, -1.7635436198217735e+08, -5.6247135923107423e+07, +2.7984608618516216e+00, -1.1124404770929459e+01, -4.8363273702750060e+00
13-DEC-2028 01:50:00.0000 ET, -7.9460022266904843e+08, -1.7636103661727732e+08, -5.6250037717054024e+07, +2.7985774838503503e+00, -1.1124378895562204e+01, -4.8363191183160925e+00
