# Apophis->SpacecraftX in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 00:00:00.0000 ET, -1.4838880574217659e+00, -3.0565971373506184e-01, +2.9593326623211267e+00, -2.2998168822629737e-05, +1.6422094894011570e-05, -9.8357091126774533e-06
01-JUL-2028 00:10:00.0000 ET, -1.4976663537898187e+00, -2.9580400920989147e-01, +2.9533873627923288e+00, -2.2929372463470060e-05, +1.6430176781824981e-05, -9.9819068298883379e-06
01-JUL-2028 00:20:00.0000 ET, -1.5114031683142082e+00, -2.8594359393021063e-01, +2.9473544336812489e+00, -2.2859896062072255e-05, +1.6437797205713714e-05, -1.0127806885093969e-05
01-JUL-2028 00:30:00.0000 ET, -1.5250980933605904e+00, -2.7607874492225770e-01, +2.9412340549623917e+00, -2.2789741157997007e-05, +1.6444955845172524e-05, -1.0273404786410064e-05
01-JUL-2028 00:40:00.0000 ET, -1.5387507224012142e+00, -2.6620973927126634e-01, +2.9350264092282239e+00, -2.2718909731970184e-05, +1.6451652701589105e-05, -1.0418696230404850e-05
01-JUL-2028 00:50:00.0000 ET, -1.5523606501243186e+00, -2.5633685404171169e-01, +2.9287316816406808e+00, -2.2647403737842155e-05, +1.6457887754771406e-05, -1.0563676902468040e-05
01-JUL-2028 01:00:00.0000 ET, -1.5659274723712808e+00, -2.4646036632506263e-01, +2.9223500599592636e+00, -2.2575225168549218e-05, +1.6463661011455964e-05, -1.0708342505312411e-05
01-JUL-2028 01:10:00.0000 ET, -1.5794507862145208e+00, -2.3658055318294746e-01, +2.9158817345053651e+00, -2.2502376034936200e-05, +1.6468972489980030e-05, -1.0852688750563990e-05
01-JUL-2028 01:20:00.0000 ET, -1.5929301899044974e+00, -2.2669769168799614e-01, +2.9093268981869609e+00, -2.2428858362643536e-05, +1.6473822217616752e-05, -1.0996711356456090e-05
01-JUL-2028 01:30:00.0000 ET, -1.6063652829602857e+00, -2.1681205885688115e-01, +2.9026857464552225e+00, -2.2354674636418066e-05, +1.6478210568221697e-05, -1.1140406269514956e-05
01-JUL-2028 01:40:00.0000 ET, -1.6197556660580812e+00, -2.0692393173590506e-01, +2.8959584773590885e+00, -2.2279825603097462e-05, +1.6482136593797121e-05, -1.1283768571780358e-05
01-JUL-2028 01:50:00.0000 ET, -1.6331009412089275e+00, -1.9703358726751508e-01, +2.8891452914575444e+00, -2.2204314699568436e-05, +1.6485601387018095e-05, -1.1426794683129916e-05
01-JUL-2028 02:00:00.0000 ET, -1.6464007116467605e+00, -1.8714130237634263e-01, +2.8822463918746384e+00, -2.2128143553150641e-05, +1.6488604664355728e-05, -1.1569480123585841e-05
01-JUL-2028 02:10:00.0000 ET, -1.6596545818546664e+00, -1.7724735395075952e-01, +2.8752619842870697e+00, -2.2051314310599692e-05, +1.6491146534733293e-05, -1.1711820671867621e-05
01-JUL-2028 02:20:00.0000 ET, -1.6728621576293903e+00, -1.6735201879476458e-01, +2.8681922768909747e+00, -2.1973829121219189e-05, +1.6493227107191712e-05, -1.1853812108833494e-05
01-JUL-2028 02:30:00.0000 ET, -1.6860230460446219e+00, -1.5745557365726848e-01, +2.8610374804205181e+00, -2.1895690154692869e-05, +1.6494846504274664e-05, -1.1995450226013810e-05
01-JUL-2028 02:40:00.0000 ET, -1.6991368554949708e+00, -1.4755829519949049e-01, +2.8537978081245936e+00, -2.1816899585250905e-05, +1.6496004849903664e-05, -1.2136730817464273e-05
01-JUL-2028 02:50:00.0000 ET, -1.7122031956684076e+00, -1.3766046001775045e-01, +2.8464734757820769e+00, -2.1737459626283172e-05, +1.6496702296084571e-05, -1.2277649698238303e-05
01-JUL-2028 03:00:00.0000 ET, -1.7252216776286815e+00, -1.2776234458037550e-01, +2.8390647016557478e+00, -2.1657372873847636e-05, +1.6496939293795351e-05, -1.2418202902988401e-05
01-JUL-2028 03:10:00.0000 ET, -1.7381919136875414e+00, -1.1786422532930962e-01, +2.8315717065648309e+00, -2.1576640434566871e-05, +1.6496715119724704e-05, -1.2558385612274033e-05
01-JUL-2028 03:20:00.0000 ET, -1.7511135176209447e+00, -1.0796637851175528e-01, +2.8239947137621604e+00, -2.1495265753048142e-05, +1.6496030887969370e-05, -1.2698194346989766e-05
01-JUL-2028 03:30:00.0000 ET, -1.7639861045110672e+00, -9.8069080305247081e-02, +2.8163339490231709e+00, -2.1413250676673267e-05, +1.6494886453512020e-05, -1.2837624712213704e-05
01-JUL-2028 03:40:00.0000 ET, -1.7768092908164446e+00, -8.8172606764334693e-02, +2.8085896406070097e+00, -2.1330597519099829e-05, +1.6493282036028713e-05, -1.2976672580587123e-05
01-JUL-2028 03:50:00.0000 ET, -1.7895826943849680e+00, -7.8277233811496538e-02, +2.8007620192484590e+00, -2.1247308616788756e-05, +1.6491217871212470e-05, -1.3115333838887846e-05
01-JUL-2028 04:00:00.0000 ET, -1.8023059344756769e+00, -6.8383237221024906e-02, +2.7928513181444461e+00, -2.1163386309313349e-05, +1.6488694195076001e-05, -1.3253604376212246e-05
01-JUL-2028 04:10:00.0000 ET, -1.8149786317431318e+00, -5.8490892632897529e-02, +2.7848577729634845e+00, -2.1078832938876946e-05, +1.6485711243188554e-05, -1.3391480082717569e-05
01-JUL-2028 04:20:00.0000 ET, -1.8276004082630932e+00, -4.8600475533761234e-02, +2.7767816218303278e+00, -2.0993650879323485e-05, +1.6482269274097380e-05, -1.3528956867924337e-05
01-JUL-2028 04:30:00.0000 ET, -1.8401708875679801e+00, -3.8712261229516320e-02, +2.7686231053030612e+00, -2.0907842511428310e-05, +1.6478368549555885e-05, -1.3666030645698169e-05
01-JUL-2028 04:40:00.0000 ET, -1.8526896945838247e+00, -2.8826524898048378e-02, +2.7603824664138950e+00, -2.0821410361922709e-05, +1.6474009447852045e-05, -1.3802697424829789e-05
01-JUL-2028 04:50:00.0000 ET, -1.8651564557421374e+00, -1.8943541499676364e-02, +2.7520599505968271e+00, -2.0734356787878276e-05, +1.6469192206917209e-05, -1.3938953104642596e-05
01-JUL-2028 05:00:00.0000 ET, -1.8775707989203498e+00, -9.0635858269991765e-03, +2.7436558057260143e+00, -2.0646684184072321e-05, +1.6463917092081673e-05, -1.4074793606522220e-05
01-JUL-2028 05:10:00.0000 ET, -1.8899323534664314e+00, +8.1306751364396135e-04, +2.7351702820998853e+00, -2.0558395092006764e-05, +1.6458184486949162e-05, -1.4210214950503246e-05
