# Apophis->SpacecraftX in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 00:00:00.0000 ET, +7.6682698079531611e-02, +1.1639106787116784e+00, -3.1132672756505015e+00, -2.8941236213087830e-05, -6.8574735702273788e-06, -3.2765509327547089e-06
13-DEC-2028 00:10:00.0000 ET, +5.9317383749603082e-02, +1.1597775876934209e+00, -3.1151884098573017e+00, -2.8943003845076069e-05, -6.9194628541514272e-06, -3.1272141268376259e-06
13-DEC-2028 00:20:00.0000 ET, +4.1951262423259472e-02, +1.1556073637789106e+00, -3.1170199143093686e+00, -2.8943926430202938e-05, -6.9812496158667623e-06, -2.9777858252034393e-06
13-DEC-2028 00:30:00.0000 ET, +2.4584840993305782e-02, +1.1514001290424605e+00, -3.1187617354127055e+00, -2.8944004217402035e-05, -7.0428319376623940e-06, -2.8282703494423888e-06
13-DEC-2028 00:40:00.0000 ET, +7.2186263081996903e-03, +1.1471560067336877e+00, -3.1204138221539104e+00, -2.8943237277899959e-05, -7.1042078601647299e-06, -2.6786720000367586e-06
13-DEC-2028 00:50:00.0000 ET, -1.0146874806701071e-02, +1.1428751212825583e+00, -3.1219761260978869e+00, -2.8941625670424375e-05, -7.1653754210551636e-06, -2.5289950762249129e-06
13-DEC-2028 01:00:00.0000 ET, -2.7511155579792848e-02, +1.1385575982918954e+00, -3.1234486013908711e+00, -2.8939169484049613e-05, -7.2263326654792419e-06, -2.3792438802199007e-06
13-DEC-2028 01:10:00.0000 ET, -4.4873709303274861e-02, +1.1342035645348305e+00, -3.1248312047613038e+00, -2.8935868870985410e-05, -7.2870776543841715e-06, -2.2294227194977421e-06
13-DEC-2028 01:20:00.0000 ET, -6.2234029348561835e-02, +1.1298131479509244e+00, -3.1261238955211610e+00, -2.8931723897918078e-05, -7.3476084273463271e-06, -2.0795358950287555e-06
13-DEC-2028 01:30:00.0000 ET, -7.9591609171831293e-02, +1.1253864776447533e+00, -3.1273266355665355e+00, -2.8926734402138174e-05, -7.4079229647864571e-06, -1.9295876945579039e-06
13-DEC-2028 01:40:00.0000 ET, -9.6945942378768066e-02, +1.1209236838693475e+00, -3.1284393893820597e+00, -2.8920901797317554e-05, -7.4680196499679367e-06, -1.7795825090815191e-06
13-DEC-2028 01:50:00.0000 ET, -1.1429652262296079e-01, +1.1164248980521050e+00, -3.1294621240343807e+00, -2.8914225085502149e-05, -7.5278962508191267e-06, -1.6295245702424314e-06
13-DEC-2028 02:00:00.0000 ET, -1.3164284376881336e-01, +1.1118902527529817e+00, -3.1303948091826217e+00, -2.8906704841047284e-05, -7.5875509363960708e-06, -1.4794182144691205e-06
13-DEC-2028 02:10:00.0000 ET, -1.4898439979302966e-01, +1.1073198816896632e+00, -3.1312374170722399e+00, -2.8898341393686483e-05, -7.6469818139951585e-06, -1.3292677608251942e-06
13-DEC-2028 02:20:00.0000 ET, -1.6632068485489471e-01, +1.1027139197193017e+00, -3.1319899225391556e+00, -2.8889135018273547e-05, -7.7061869769970452e-06, -1.1790775250629193e-06
13-DEC-2028 02:30:00.0000 ET, -1.8365119329391325e-01, +1.0980725028389555e+00, -3.1326523030095195e+00, -2.8879086036996957e-05, -7.7651645313884535e-06, -1.0288518253077650e-06
13-DEC-2028 02:40:00.0000 ET, -2.0097541964533028e-01, +1.0933957681813835e+00, -3.1332245385004822e+00, -2.8868194786642320e-05, -7.8239125872414330e-06, -8.7859498035839430e-07
13-DEC-2028 02:50:00.0000 ET, -2.1829285865297018e-01, +1.0886838540115218e+00, -3.1337066116207923e+00, -2.8856461621380247e-05, -7.8824292594254719e-06, -7.2831130991016784e-07
13-DEC-2028 03:00:00.0000 ET, -2.3560300527830574e-01, +1.0839368997239700e+00, -3.1340985075713159e+00, -2.8843886603890295e-05, -7.9407125831480957e-06, -5.7800512868921576e-07
13-DEC-2028 03:10:00.0000 ET, -2.5290535480224796e-01, +1.0791550458149881e+00, -3.1344002141469636e+00, -2.8830471219077237e-05, -7.9987609830091327e-06, -4.2768077804973803e-07
13-DEC-2028 03:20:00.0000 ET, -2.7019940262851389e-01, +1.0743384339361663e+00, -3.1346117217331577e+00, -2.8816214790000737e-05, -8.0565722923218818e-06, -2.7734255924774558e-07
